date,dma_name,state,product_category,size,promo_flag,orders,line_items,total_quantity,gross_revenue,total_discount,total_cost,avg_unit_price
2023-01-02,"Atlanta, GA",GA,Girls Bottoms,M (8-10),0,1,1,1,27,0,11.93,27.0
2023-01-02,"Atlanta, GA",GA,Girls Bottoms,M (8-10),1,1,1,3,45,30,37.5,25.0
2023-01-02,"Atlanta, GA",GA,Girls Tops,L (12-14),0,1,1,1,25,0,11.24,25.0
2023-01-02,"Atlanta, GA",GA,Girls Tops,M (8-10),0,1,1,1,27,0,11.39,27.0
2023-01-02,"Augusta, GA",GA,Girls Bottoms,M (8-10),0,1,1,1,28,0,10.46,28.0
2023-01-02,"Augusta, GA",GA,Girls Bottoms,XS (4-5),0,1,1,1,28,0,11.46,28.0
2023-01-02,"Augusta, GA",GA,Girls Tops,S (6-7),0,1,1,2,50,0,18.32,25.0
2023-01-02,"Columbus, GA",GA,Girls Bottoms,L (12-14),1,1,1,1,19,10,14.88,29.0
2023-01-02,"Columbus, GA",GA,Girls Bottoms,S (6-7),0,1,1,1,24,0,11.79,24.0
2023-01-02,"Macon, GA",GA,Girls Dresses,L (12-14),0,1,1,2,68,0,27.04,34.0
2023-01-02,"Macon, GA",GA,Girls Dresses,M (8-10),0,1,1,3,102,0,43.8,34.0
2023-01-02,"Macon, GA",GA,Girls Tops,L (12-14),0,1,1,3,60,0,29.28,20.0
2023-01-02,"Macon, GA",GA,Girls Tops,L (12-14),1,1,1,1,7,15,9.96,22.0
2023-01-02,"Macon, GA",GA,Girls Tops,S (6-7),1,1,1,1,6,20,11.08,26.0
2023-01-02,"Savannah, GA",GA,Girls Bottoms,M (8-10),1,3,3,4,32,75,51.84,27.666666666666668
2023-01-02,"Savannah, GA",GA,Girls Bottoms,S (6-7),0,1,1,1,27,0,9.83,27.0
2023-01-02,"Savannah, GA",GA,Girls Bottoms,XS (4-5),0,2,2,2,59,0,27.490000000000002,29.5
2023-01-02,"Savannah, GA",GA,Girls Bottoms,XS (4-5),1,1,1,2,40,20,31.52,30.0
2023-01-02,"Savannah, GA",GA,Girls Dresses,L (12-14),0,1,1,1,33,0,13.78,33.0
2023-01-02,"Savannah, GA",GA,Girls Dresses,S (6-7),1,1,1,1,13,20,16.45,33.0
2023-01-02,"Savannah, GA",GA,Girls Tops,M (8-10),0,1,1,1,19,0,8.37,19.0
2023-01-02,"Savannah, GA",GA,Girls Tops,M (8-10),1,1,1,1,10,10,7.22,20.0
2023-01-03,"Atlanta, GA",GA,Girls Bottoms,M (8-10),0,1,1,1,27,0,12.44,27.0
2023-01-03,"Atlanta, GA",GA,Girls Bottoms,M (8-10),1,1,1,1,5,20,12.92,25.0
2023-01-03,"Atlanta, GA",GA,Girls Bottoms,XS (4-5),1,1,1,1,19,10,14.65,29.0
2023-01-03,"Atlanta, GA",GA,Girls Dresses,XS (4-5),1,1,1,3,66,30,39.69,32.0
2023-01-03,"Augusta, GA",GA,Girls Bottoms,M (8-10),0,1,1,1,26,0,10.83,26.0
2023-01-03,"Augusta, GA",GA,Girls Bottoms,M (8-10),1,1,1,1,16,10,9.68,26.0
2023-01-03,"Augusta, GA",GA,Girls Bottoms,XS (4-5),0,1,1,2,48,0,18.56,24.0
2023-01-03,"Augusta, GA",GA,Girls Bottoms,XS (4-5),1,1,1,1,11,15,13.95,26.0
2023-01-03,"Augusta, GA",GA,Girls Dresses,M (8-10),0,1,1,1,32,0,14.0,32.0
2023-01-03,"Augusta, GA",GA,Girls Dresses,M (8-10),1,1,1,2,30,40,37.98,35.0
2023-01-03,"Augusta, GA",GA,Girls Tops,S (6-7),0,1,1,2,52,0,19.0,26.0
2023-01-03,"Augusta, GA",GA,Girls Tops,XS (4-5),1,1,1,1,6,15,9.18,21.0
2023-01-03,"Columbus, GA",GA,Girls Bottoms,L (12-14),0,1,1,1,30,0,12.03,30.0
2023-01-03,"Columbus, GA",GA,Girls Tops,L (12-14),1,1,1,1,9,10,9.06,19.0
2023-01-03,"Macon, GA",GA,Girls Bottoms,L (12-14),1,1,1,1,12,15,10.89,27.0
2023-01-03,"Macon, GA",GA,Girls Dresses,S (6-7),0,1,1,1,38,0,18.19,38.0
2023-01-03,"Macon, GA",GA,Girls Tops,S (6-7),1,1,1,3,30,30,28.44,20.0
2023-01-03,"Savannah, GA",GA,Girls Bottoms,L (12-14),0,1,1,2,50,0,18.6,25.0
2023-01-03,"Savannah, GA",GA,Girls Bottoms,L (12-14),1,1,1,2,20,30,22.74,25.0
2023-01-03,"Savannah, GA",GA,Girls Bottoms,M (8-10),1,2,2,2,14,40,24.67,27.0
2023-01-03,"Savannah, GA",GA,Girls Bottoms,XS (4-5),1,1,1,2,22,30,18.28,26.0
2023-01-03,"Savannah, GA",GA,Girls Dresses,M (8-10),0,1,1,1,34,0,14.33,34.0
2023-01-03,"Savannah, GA",GA,Girls Dresses,M (8-10),1,1,1,1,18,20,15.54,38.0
2023-01-03,"Savannah, GA",GA,Girls Tops,S (6-7),0,1,1,1,20,0,10.24,20.0
2023-01-03,"Savannah, GA",GA,Girls Tops,S (6-7),1,1,1,3,27,30,28.92,19.0
2023-01-04,"Atlanta, GA",GA,Girls Bottoms,L (12-14),1,1,1,1,17,10,10.43,27.0
2023-01-04,"Atlanta, GA",GA,Girls Bottoms,M (8-10),0,1,1,1,24,0,9.93,24.0
2023-01-04,"Atlanta, GA",GA,Girls Bottoms,M (8-10),1,1,1,1,14,15,13.46,29.0
2023-01-04,"Atlanta, GA",GA,Girls Bottoms,XS (4-5),0,1,1,1,23,0,11.03,23.0
2023-01-04,"Atlanta, GA",GA,Girls Dresses,M (8-10),1,1,1,1,16,15,14.38,31.0
2023-01-04,"Atlanta, GA",GA,Girls Tops,L (12-14),0,1,1,2,52,0,20.2,26.0
2023-01-04,"Atlanta, GA",GA,Girls Tops,M (8-10),0,1,1,1,27,0,10.73,27.0
2023-01-04,"Augusta, GA",GA,Girls Bottoms,S (6-7),1,1,1,1,11,15,10.26,26.0
2023-01-04,"Augusta, GA",GA,Girls Bottoms,XS (4-5),0,1,1,1,25,0,10.95,25.0
2023-01-04,"Augusta, GA",GA,Girls Tops,M (8-10),1,1,1,2,18,20,19.26,19.0
2023-01-04,"Augusta, GA",GA,Girls Tops,XS (4-5),0,1,1,1,25,0,11.73,25.0
2023-01-04,"Augusta, GA",GA,Girls Tops,XS (4-5),1,1,1,1,7,20,9.62,27.0
2023-01-04,"Columbus, GA",GA,Girls Bottoms,S (6-7),0,1,1,1,31,0,11.36,31.0
2023-01-04,"Columbus, GA",GA,Girls Dresses,S (6-7),0,1,1,2,70,0,28.06,35.0
2023-01-04,"Columbus, GA",GA,Girls Tops,M (8-10),0,1,1,1,24,0,9.2,24.0
2023-01-04,"Macon, GA",GA,Girls Bottoms,L (12-14),1,1,1,1,14,15,11.37,29.0
2023-01-04,"Macon, GA",GA,Girls Dresses,L (12-14),0,1,1,1,37,0,18.46,37.0
2023-01-04,"Macon, GA",GA,Girls Dresses,L (12-14),1,1,1,3,57,60,43.14,39.0
2023-01-04,"Macon, GA",GA,Girls Dresses,M (8-10),1,2,2,4,96,60,80.32,39.0
2023-01-04,"Macon, GA",GA,Girls Dresses,S (6-7),0,1,1,1,38,0,14.25,38.0
2023-01-04,"Macon, GA",GA,Girls Tops,L (12-14),0,1,1,1,25,0,10.6,25.0
2023-01-04,"Macon, GA",GA,Girls Tops,M (8-10),0,1,1,1,26,0,12.26,26.0
2023-01-04,"Savannah, GA",GA,Girls Tops,L (12-14),0,1,1,2,54,0,21.08,27.0
2023-01-05,"Atlanta, GA",GA,Girls Bottoms,S (6-7),1,1,1,1,17,10,14.16,27.0
2023-01-05,"Atlanta, GA",GA,Girls Bottoms,XS (4-5),1,1,1,1,16,15,13.57,31.0
2023-01-05,"Atlanta, GA",GA,Girls Tops,L (12-14),0,1,1,1,24,0,10.09,24.0
2023-01-05,"Atlanta, GA",GA,Girls Tops,M (8-10),0,1,1,1,26,0,14.0,26.0
2023-01-05,"Atlanta, GA",GA,Girls Tops,S (6-7),0,2,2,2,51,0,21.09,25.5
2023-01-05,"Atlanta, GA",GA,Girls Tops,S (6-7),1,1,1,3,33,45,27.630000000000003,26.0
2023-01-05,"Augusta, GA",GA,Girls Bottoms,L (12-14),1,1,1,1,16,10,12.44,26.0
2023-01-05,"Augusta, GA",GA,Girls Dresses,S (6-7),1,1,1,1,24,15,20.01,39.0
2023-01-05,"Augusta, GA",GA,Girls Tops,M (8-10),0,1,1,2,54,0,24.52,27.0
2023-01-05,"Augusta, GA",GA,Girls Tops,S (6-7),1,1,1,1,9,15,10.07,24.0
2023-01-05,"Columbus, GA",GA,Girls Bottoms,S (6-7),1,2,2,2,22,35,25.25,28.5
2023-01-05,"Columbus, GA",GA,Girls Bottoms,XS (4-5),0,1,1,1,30,0,13.3,30.0
2023-01-05,"Columbus, GA",GA,Girls Bottoms,XS (4-5),1,1,1,2,34,20,26.86,27.0
2023-01-05,"Columbus, GA",GA,Girls Dresses,L (12-14),0,1,1,2,64,0,22.64,32.0
2023-01-05,"Columbus, GA",GA,Girls Dresses,L (12-14),1,2,2,3,46,50,48.1,32.0
2023-01-05,"Columbus, GA",GA,Girls Dresses,M (8-10),1,1,1,2,34,40,34.42,37.0
2023-01-05,"Columbus, GA",GA,Girls Tops,L (12-14),0,1,1,1,26,0,12.23,26.0
2023-01-05,"Macon, GA",GA,Girls Bottoms,L (12-14),0,1,1,1,31,0,11.27,31.0
2023-01-05,"Macon, GA",GA,Girls Bottoms,S (6-7),0,1,1,1,30,0,11.69,30.0
2023-01-05,"Macon, GA",GA,Girls Tops,L (12-14),0,1,1,1,20,0,9.78,20.0
2023-01-05,"Savannah, GA",GA,Girls Bottoms,L (12-14),0,1,1,1,23,0,10.25,23.0
2023-01-05,"Savannah, GA",GA,Girls Dresses,M (8-10),1,1,1,3,69,45,48.150000000000006,38.0
2023-01-05,"Savannah, GA",GA,Girls Dresses,XS (4-5),1,1,1,2,26,40,34.64,33.0
2023-01-06,"Atlanta, GA",GA,Girls Bottoms,M (8-10),1,1,1,1,3,20,10.55,23.0
2023-01-06,"Atlanta, GA",GA,Girls Bottoms,S (6-7),0,1,1,2,58,0,21.72,29.0
2023-01-06,"Atlanta, GA",GA,Girls Dresses,XS (4-5),0,1,1,1,31,0,16.94,31.0
2023-01-06,"Atlanta, GA",GA,Girls Dresses,XS (4-5),1,1,1,3,66,30,51.81,32.0
2023-01-06,"Atlanta, GA",GA,Girls Tops,M (8-10),1,1,1,1,10,15,12.3,25.0
2023-01-06,"Atlanta, GA",GA,Girls Tops,XS (4-5),0,1,1,2,38,0,15.98,19.0
2023-01-06,"Augusta, GA",GA,Girls Bottoms,L (12-14),0,1,1,1,28,0,13.34,28.0
2023-01-06,"Augusta, GA",GA,Girls Dresses,M (8-10),1,1,1,1,18,20,16.49,38.0
2023-01-06,"Augusta, GA",GA,Girls Tops,M (8-10),1,1,1,3,6,60,25.14,22.0
2023-01-06,"Augusta, GA",GA,Girls Tops,S (6-7),0,1,1,1,24,0,10.15,24.0
2023-01-06,"Columbus, GA",GA,Girls Bottoms,L (12-14),1,1,1,1,6,20,9.19,26.0
2023-01-06,"Columbus, GA",GA,Girls Bottoms,M (8-10),0,1,1,1,25,0,12.41,25.0
2023-01-06,"Columbus, GA",GA,Girls Dresses,M (8-10),1,1,1,3,66,30,39.06,32.0
2023-01-06,"Columbus, GA",GA,Girls Tops,M (8-10),0,1,1,1,21,0,8.29,21.0
2023-01-06,"Columbus, GA",GA,Girls Tops,S (6-7),0,1,1,3,81,0,39.06,27.0
2023-01-06,"Columbus, GA",GA,Girls Tops,XS (4-5),1,3,3,4,50,55,45.83,26.0
2023-01-06,"Macon, GA",GA,Girls Bottoms,L (12-14),0,1,1,1,27,0,10.71,27.0
2023-01-06,"Macon, GA",GA,Girls Bottoms,M (8-10),0,1,1,1,24,0,12.62,24.0
2023-01-06,"Macon, GA",GA,Girls Bottoms,S (6-7),0,1,1,1,29,0,11.2,29.0
2023-01-06,"Macon, GA",GA,Girls Dresses,M (8-10),0,1,1,1,38,0,20.7,38.0
2023-01-06,"Macon, GA",GA,Girls Tops,M (8-10),1,1,1,2,24,20,15.88,22.0
2023-01-06,"Savannah, GA",GA,Girls Bottoms,S (6-7),0,1,1,1,28,0,10.5,28.0
2023-01-06,"Savannah, GA",GA,Girls Dresses,L (12-14),1,1,1,2,52,20,35.72,36.0
2023-01-06,"Savannah, GA",GA,Girls Dresses,XS (4-5),1,1,1,1,19,20,20.26,39.0
2023-01-06,"Savannah, GA",GA,Girls Tops,S (6-7),1,1,1,1,6,20,11.88,26.0
2023-01-06,"Savannah, GA",GA,Girls Tops,XS (4-5),0,1,1,1,24,0,11.07,24.0
2023-01-07,"Atlanta, GA",GA,Girls Tops,S (6-7),1,1,1,1,4,20,10.32,24.0
2023-01-07,"Atlanta, GA",GA,Girls Tops,XS (4-5),1,1,1,1,5,15,8.03,20.0
2023-01-07,"Augusta, GA",GA,Girls Bottoms,L (12-14),0,1,1,1,27,0,12.46,27.0
2023-01-07,"Augusta, GA",GA,Girls Bottoms,S (6-7),1,1,1,1,7,20,9.74,27.0
2023-01-07,"Augusta, GA",GA,Girls Dresses,S (6-7),1,1,1,3,45,60,57.599999999999994,35.0
2023-01-07,"Augusta, GA",GA,Girls Dresses,XS (4-5),1,1,1,1,17,15,14.96,32.0
2023-01-07,"Augusta, GA",GA,Girls Tops,S (6-7),0,1,1,1,19,0,8.96,19.0
2023-01-07,"Augusta, GA",GA,Girls Tops,S (6-7),1,1,1,1,10,15,10.96,25.0
2023-01-07,"Columbus, GA",GA,Girls Bottoms,M (8-10),0,1,1,1,24,0,10.54,24.0
2023-01-07,"Columbus, GA",GA,Girls Dresses,L (12-14),1,1,1,1,23,10,12.71,33.0
2023-01-07,"Columbus, GA",GA,Girls Dresses,XS (4-5),1,1,1,2,32,40,30.36,36.0
2023-01-07,"Columbus, GA",GA,Girls Tops,XS (4-5),1,1,1,2,30,20,21.92,25.0
2023-01-07,"Macon, GA",GA,Girls Bottoms,L (12-14),0,2,2,2,55,0,24.77,27.5
2023-01-07,"Macon, GA",GA,Girls Bottoms,M (8-10),1,1,1,2,30,30,32.08,30.0
2023-01-07,"Macon, GA",GA,Girls Dresses,L (12-14),1,2,3,5,92,70,73.18,32.333333333333336
2023-01-07,"Macon, GA",GA,Girls Dresses,M (8-10),0,1,1,3,114,0,61.56,38.0
2023-01-07,"Macon, GA",GA,Girls Dresses,S (6-7),0,1,1,1,39,0,17.03,39.0
2023-01-07,"Macon, GA",GA,Girls Tops,L (12-14),1,1,1,2,28,20,23.22,24.0
2023-01-07,"Macon, GA",GA,Girls Tops,S (6-7),0,1,1,1,19,0,8.27,19.0
2023-01-07,"Macon, GA",GA,Girls Tops,XS (4-5),0,1,1,1,25,0,11.05,25.0
2023-01-07,"Savannah, GA",GA,Girls Bottoms,S (6-7),0,1,1,2,58,0,22.14,29.0
2023-01-07,"Savannah, GA",GA,Girls Bottoms,S (6-7),1,1,1,1,17,10,11.89,27.0
2023-01-07,"Savannah, GA",GA,Girls Dresses,L (12-14),1,1,1,1,24,15,16.57,39.0
2023-01-07,"Savannah, GA",GA,Girls Dresses,S (6-7),0,1,1,3,96,0,34.08,32.0
2023-01-07,"Savannah, GA",GA,Girls Tops,L (12-14),0,1,1,3,63,0,28.68,21.0
2023-01-07,"Savannah, GA",GA,Girls Tops,M (8-10),0,1,1,1,25,0,8.88,25.0
2023-01-07,"Savannah, GA",GA,Girls Tops,S (6-7),1,1,1,1,11,15,13.53,26.0
2023-01-07,"Savannah, GA",GA,Girls Tops,XS (4-5),1,1,1,1,10,10,8.97,20.0
2023-01-08,"Atlanta, GA",GA,Girls Bottoms,L (12-14),0,2,2,3,79,0,37.92,26.0
2023-01-08,"Atlanta, GA",GA,Girls Bottoms,M (8-10),1,1,1,2,32,30,21.92,31.0
2023-01-08,"Atlanta, GA",GA,Girls Dresses,L (12-14),0,1,1,1,36,0,19.58,36.0
2023-01-08,"Atlanta, GA",GA,Girls Dresses,M (8-10),0,1,1,1,34,0,17.67,34.0
2023-01-08,"Atlanta, GA",GA,Girls Dresses,XS (4-5),0,1,1,1,35,0,15.37,35.0
2023-01-08,"Atlanta, GA",GA,Girls Tops,L (12-14),0,1,1,1,22,0,11.83,22.0
2023-01-08,"Atlanta, GA",GA,Girls Tops,S (6-7),1,1,1,1,3,20,11.31,23.0
2023-01-08,"Atlanta, GA",GA,Girls Tops,XS (4-5),0,1,1,1,27,0,10.17,27.0
2023-01-08,"Augusta, GA",GA,Girls Bottoms,M (8-10),0,1,1,1,30,0,14.45,30.0
2023-01-08,"Augusta, GA",GA,Girls Bottoms,XS (4-5),0,1,1,2,46,0,21.82,23.0
2023-01-08,"Augusta, GA",GA,Girls Dresses,L (12-14),1,1,1,1,17,20,14.92,37.0
2023-01-08,"Augusta, GA",GA,Girls Dresses,XS (4-5),1,1,1,2,50,20,24.86,35.0
2023-01-08,"Augusta, GA",GA,Girls Tops,L (12-14),0,1,1,1,19,0,8.8,19.0
2023-01-08,"Augusta, GA",GA,Girls Tops,M (8-10),1,1,1,1,4,15,10.18,19.0
2023-01-08,"Augusta, GA",GA,Girls Tops,S (6-7),0,1,1,2,48,0,19.5,24.0
2023-01-08,"Augusta, GA",GA,Girls Tops,S (6-7),1,1,1,1,16,10,12.91,26.0
2023-01-08,"Macon, GA",GA,Girls Bottoms,XS (4-5),0,1,1,3,93,0,32.94,31.0
2023-01-08,"Macon, GA",GA,Girls Dresses,L (12-14),1,2,2,3,57,45,42.32,34.0
2023-01-08,"Macon, GA",GA,Girls Tops,L (12-14),0,1,1,1,21,0,10.63,21.0
2023-01-08,"Macon, GA",GA,Girls Tops,L (12-14),1,1,1,2,22,30,20.3,26.0
2023-01-08,"Macon, GA",GA,Girls Tops,M (8-10),0,1,1,1,23,0,8.12,23.0
2023-01-08,"Savannah, GA",GA,Girls Bottoms,L (12-14),0,2,2,2,59,0,30.77,29.5
2023-01-09,"Atlanta, GA",GA,Girls Bottoms,S (6-7),1,1,1,1,9,20,15.79,29.0
2023-01-09,"Atlanta, GA",GA,Girls Dresses,XS (4-5),1,1,1,1,21,10,14.07,31.0
2023-01-09,"Atlanta, GA",GA,Girls Tops,M (8-10),1,1,1,1,0,20,7.54,20.0
2023-01-09,"Augusta, GA",GA,Girls Bottoms,XS (4-5),1,1,1,1,9,15,10.19,24.0
2023-01-09,"Augusta, GA",GA,Girls Tops,M (8-10),1,1,1,1,7,20,10.73,27.0
2023-01-09,"Augusta, GA",GA,Girls Tops,S (6-7),1,2,2,2,23,20,18.91,21.5
2023-01-09,"Columbus, GA",GA,Girls Bottoms,XS (4-5),0,1,1,1,27,0,11.91,27.0
2023-01-09,"Columbus, GA",GA,Girls Dresses,M (8-10),0,1,1,1,31,0,16.87,31.0
2023-01-09,"Columbus, GA",GA,Girls Dresses,XS (4-5),1,1,1,1,23,10,15.07,33.0
2023-01-09,"Columbus, GA",GA,Girls Tops,XS (4-5),1,1,1,1,6,20,10.63,26.0
2023-01-09,"Macon, GA",GA,Girls Bottoms,L (12-14),1,1,1,2,16,30,23.64,23.0
2023-01-09,"Macon, GA",GA,Girls Bottoms,S (6-7),1,1,1,1,9,15,11.72,24.0
2023-01-09,"Macon, GA",GA,Girls Dresses,M (8-10),1,1,1,1,24,10,12.14,34.0
2023-01-09,"Macon, GA",GA,Girls Dresses,S (6-7),0,1,1,1,32,0,12.72,32.0
2023-01-09,"Macon, GA",GA,Girls Tops,S (6-7),1,3,3,8,63,120,80.44,23.0
2023-01-09,"Macon, GA",GA,Girls Tops,XS (4-5),1,1,1,2,6,40,17.38,23.0
2023-01-09,"Savannah, GA",GA,Girls Bottoms,S (6-7),0,2,2,2,47,0,23.0,23.5
2023-01-09,"Savannah, GA",GA,Girls Bottoms,S (6-7),1,1,1,1,4,20,11.36,24.0
2023-01-09,"Savannah, GA",GA,Girls Dresses,M (8-10),1,1,1,2,36,40,31.68,38.0
2023-01-09,"Savannah, GA",GA,Girls Dresses,XS (4-5),0,1,1,1,37,0,13.45,37.0
2023-01-10,"Atlanta, GA",GA,Girls Bottoms,L (12-14),1,1,1,1,4,20,13.07,24.0
2023-01-10,"Atlanta, GA",GA,Girls Bottoms,M (8-10),1,1,1,2,24,30,22.24,27.0
2023-01-10,"Atlanta, GA",GA,Girls Bottoms,S (6-7),1,3,3,5,70,55,50.5,25.666666666666668
2023-01-10,"Atlanta, GA",GA,Girls Bottoms,XS (4-5),0,2,2,4,102,0,51.45,27.0
2023-01-10,"Atlanta, GA",GA,Girls Bottoms,XS (4-5),1,1,1,3,54,30,38.13,28.0
2023-01-10,"Atlanta, GA",GA,Girls Dresses,M (8-10),0,1,1,1,38,0,20.68,38.0
2023-01-10,"Atlanta, GA",GA,Girls Dresses,S (6-7),0,1,1,1,35,0,18.0,35.0
2023-01-10,"Atlanta, GA",GA,Girls Tops,L (12-14),0,1,1,1,26,0,13.75,26.0
2023-01-10,"Atlanta, GA",GA,Girls Tops,S (6-7),1,1,1,1,10,10,9.94,20.0
2023-01-10,"Atlanta, GA",GA,Girls Tops,XS (4-5),0,1,1,3,57,0,20.28,19.0
2023-01-10,"Augusta, GA",GA,Girls Tops,S (6-7),0,1,1,1,19,0,10.37,19.0
2023-01-10,"Columbus, GA",GA,Girls Bottoms,M (8-10),0,1,1,1,29,0,13.43,29.0
2023-01-10,"Columbus, GA",GA,Girls Bottoms,S (6-7),1,1,1,1,14,10,11.7,24.0
2023-01-10,"Columbus, GA",GA,Girls Dresses,XS (4-5),0,1,1,2,70,0,26.48,35.0
2023-01-10,"Columbus, GA",GA,Girls Tops,L (12-14),1,1,1,3,45,30,36.269999999999996,25.0
2023-01-10,"Columbus, GA",GA,Girls Tops,M (8-10),0,1,1,2,50,0,19.82,25.0
2023-01-10,"Macon, GA",GA,Girls Bottoms,L (12-14),1,1,1,1,10,15,11.2,25.0
2023-01-10,"Macon, GA",GA,Girls Bottoms,S (6-7),1,1,1,2,20,40,27.08,30.0
2023-01-10,"Macon, GA",GA,Girls Bottoms,XS (4-5),0,1,1,1,29,0,10.77,29.0
2023-01-10,"Macon, GA",GA,Girls Dresses,L (12-14),1,1,1,1,24,10,12.47,34.0
2023-01-10,"Savannah, GA",GA,Girls Bottoms,M (8-10),0,1,1,1,29,0,15.91,29.0
2023-01-10,"Savannah, GA",GA,Girls Dresses,S (6-7),1,2,2,2,28,35,30.89,31.5
2023-01-11,"Atlanta, GA",GA,Girls Bottoms,M (8-10),0,1,1,3,69,0,24.599999999999998,23.0
2023-01-11,"Atlanta, GA",GA,Girls Dresses,M (8-10),0,1,1,3,105,0,43.11,35.0
2023-01-11,"Atlanta, GA",GA,Girls Dresses,S (6-7),0,1,1,3,96,0,49.949999999999996,32.0
2023-01-11,"Atlanta, GA",GA,Girls Dresses,S (6-7),1,1,1,1,18,20,20.59,38.0
2023-01-11,"Atlanta, GA",GA,Girls Dresses,XS (4-5),1,1,1,1,26,10,18.68,36.0
2023-01-11,"Augusta, GA",GA,Girls Bottoms,S (6-7),0,1,1,3,78,0,34.74,26.0
2023-01-11,"Augusta, GA",GA,Girls Tops,S (6-7),0,2,2,3,75,0,35.32,24.5
2023-01-11,"Augusta, GA",GA,Girls Tops,S (6-7),1,1,1,1,11,15,9.26,26.0
2023-01-11,"Columbus, GA",GA,Girls Dresses,S (6-7),1,1,1,3,42,60,55.980000000000004,34.0
2023-01-11,"Columbus, GA",GA,Girls Tops,S (6-7),0,1,1,3,60,0,28.83,20.0
2023-01-11,"Macon, GA",GA,Girls Bottoms,L (12-14),0,1,1,1,31,0,16.81,31.0
2023-01-11,"Macon, GA",GA,Girls Bottoms,M (8-10),0,1,1,1,24,0,10.97,24.0
2023-01-11,"Macon, GA",GA,Girls Bottoms,S (6-7),0,1,1,1,26,0,12.59,26.0
2023-01-11,"Macon, GA",GA,Girls Dresses,L (12-14),1,1,1,1,22,10,17.32,32.0
2023-01-11,"Macon, GA",GA,Girls Dresses,XS (4-5),1,1,1,1,18,20,15.14,38.0
2023-01-11,"Savannah, GA",GA,Girls Bottoms,L (12-14),1,1,1,1,9,20,15.52,29.0
2023-01-11,"Savannah, GA",GA,Girls Bottoms,S (6-7),1,3,3,5,39,80,51.57,23.666666666666668
2023-01-11,"Savannah, GA",GA,Girls Tops,L (12-14),1,1,1,1,0,20,8.73,20.0
2023-01-11,"Savannah, GA",GA,Girls Tops,S (6-7),1,1,1,1,0,20,9.15,20.0
2023-01-12,"Atlanta, GA",GA,Girls Tops,M (8-10),0,1,1,1,27,0,11.35,27.0
2023-01-12,"Atlanta, GA",GA,Girls Tops,M (8-10),1,1,1,1,12,15,10.94,27.0
2023-01-12,"Augusta, GA",GA,Girls Dresses,L (12-14),1,2,2,4,66,70,60.6,33.0
2023-01-12,"Augusta, GA",GA,Girls Tops,L (12-14),1,1,1,3,15,60,37.019999999999996,25.0
2023-01-12,"Columbus, GA",GA,Girls Bottoms,L (12-14),0,1,1,2,56,0,29.62,28.0
