date,airport_code,airport_name,state,format,audience_segment,spend,impressions,placements
2023-01-04,BOS,Logan International Airport,MA,Jet Bridge,General Travelers,1990.5185714285712,99702.0,8
2023-01-04,BWI,Baltimore/Washington International Airport,MD,Digital Board,Traveling Moms,1959.5400000000002,118987.28571428571,3
2023-01-04,CLT,Charlotte Douglas International Airport,NC,Jet Bridge,Frequent Flyers,2544.2485714285717,147169.14285714287,7
2023-01-04,DEN,Denver International Airport,CO,Baggage Claim Display,Traveling Moms,2292.0285714285715,130069.57142857143,10
2023-01-04,DFW,Dallas/Fort Worth International Airport,TX,Baggage Claim Display,Frequent Flyers,1486.95,73451.42857142857,8
2023-01-04,DTW,Detroit Metropolitan Airport,MI,Jet Bridge,Frequent Flyers,2996.6228571428574,148666.7142857143,6
2023-01-04,IAH,George Bush Intercontinental Airport,TX,Baggage Claim Display,Family Leisure Travelers,2552.7428571428572,122006.57142857143,8
2023-01-04,JFK,John F. Kennedy International Airport,NY,Concourse Wrap,Frequent Flyers,2590.367142857143,116470.42857142857,5
2023-01-04,LAS,Harry Reid International Airport,NV,Jet Bridge,General Travelers,2205.302857142857,127584.14285714286,7
2023-01-04,LAX,Los Angeles International Airport,CA,Concourse Wrap,General Travelers,2624.9900000000002,168139.7142857143,9
2023-01-04,LGA,LaGuardia Airport,NY,Digital Board,Frequent Flyers,2619.1357142857146,133835.2857142857,8
2023-01-04,MCO,Orlando International Airport,FL,Baggage Claim Display,Traveling Moms,2223.6814285714286,132916.0,5
2023-01-04,MIA,Miami International Airport,FL,Digital Board,Frequent Flyers,1922.087142857143,105671.42857142857,4
2023-01-04,MSP,Minneapolis–Saint Paul International Airport,MN,Digital Board,General Travelers,2466.8614285714284,107998.0,5
2023-01-04,ORD,Chicago O'Hare International Airport,IL,Concourse Wrap,General Travelers,2319.8985714285714,111471.85714285714,6
2023-01-04,PHL,Philadelphia International Airport,PA,Baggage Claim Display,General Travelers,2072.9700000000003,91684.42857142857,6
2023-01-04,PHX,Phoenix Sky Harbor International Airport,AZ,Concourse Wrap,Frequent Flyers,2106.134285714286,89577.71428571429,5
2023-01-04,SEA,Seattle–Tacoma International Airport,WA,Baggage Claim Display,General Travelers,1882.222857142857,76285.85714285714,11
2023-01-04,SFO,San Francisco International Airport,CA,Jet Bridge,Family Leisure Travelers,2111.327142857143,91089.57142857143,4
2023-01-05,ATL,Hartsfield–Jackson Atlanta International Airport,GA,Baggage Claim Display,Traveling Moms,1800.93,96719.85714285714,5
2023-01-05,BOS,Logan International Airport,MA,Jet Bridge,General Travelers,1990.5185714285712,99702.0,8
2023-01-05,BWI,Baltimore/Washington International Airport,MD,Digital Board,Traveling Moms,1959.5400000000002,118987.28571428571,3
2023-01-05,CLT,Charlotte Douglas International Airport,NC,Jet Bridge,Frequent Flyers,2544.2485714285717,147169.14285714287,7
2023-01-05,DEN,Denver International Airport,CO,Baggage Claim Display,Traveling Moms,2292.0285714285715,130069.57142857143,10
2023-01-05,DFW,Dallas/Fort Worth International Airport,TX,Baggage Claim Display,Frequent Flyers,1486.95,73451.42857142857,8
2023-01-05,DTW,Detroit Metropolitan Airport,MI,Jet Bridge,Frequent Flyers,2996.6228571428574,148666.7142857143,6
2023-01-05,IAH,George Bush Intercontinental Airport,TX,Baggage Claim Display,Family Leisure Travelers,2552.7428571428572,122006.57142857143,8
2023-01-05,JFK,John F. Kennedy International Airport,NY,Concourse Wrap,Frequent Flyers,2590.367142857143,116470.42857142857,5
2023-01-05,LAS,Harry Reid International Airport,NV,Jet Bridge,General Travelers,2205.302857142857,127584.14285714286,7
2023-01-05,LAX,Los Angeles International Airport,CA,Concourse Wrap,General Travelers,2624.9900000000002,168139.7142857143,9
2023-01-05,LGA,LaGuardia Airport,NY,Digital Board,Frequent Flyers,2619.1357142857146,133835.2857142857,8
2023-01-05,MCO,Orlando International Airport,FL,Baggage Claim Display,Traveling Moms,2223.6814285714286,132916.0,5
2023-01-05,MIA,Miami International Airport,FL,Digital Board,Frequent Flyers,1922.087142857143,105671.42857142857,4
2023-01-05,MSP,Minneapolis–Saint Paul International Airport,MN,Digital Board,General Travelers,2466.8614285714284,107998.0,5
2023-01-05,ORD,Chicago O'Hare International Airport,IL,Concourse Wrap,General Travelers,2319.8985714285714,111471.85714285714,6
2023-01-05,PHL,Philadelphia International Airport,PA,Baggage Claim Display,General Travelers,2072.9700000000003,91684.42857142857,6
2023-01-05,PHX,Phoenix Sky Harbor International Airport,AZ,Concourse Wrap,Frequent Flyers,2106.134285714286,89577.71428571429,5
2023-01-05,SEA,Seattle–Tacoma International Airport,WA,Baggage Claim Display,General Travelers,1882.222857142857,76285.85714285714,11
2023-01-05,SFO,San Francisco International Airport,CA,Jet Bridge,Family Leisure Travelers,2111.327142857143,91089.57142857143,4
2023-01-06,ATL,Hartsfield–Jackson Atlanta International Airport,GA,Baggage Claim Display,Traveling Moms,1800.93,96719.85714285714,5
2023-01-06,BOS,Logan International Airport,MA,Jet Bridge,General Travelers,1990.5185714285712,99702.0,8
2023-01-06,BWI,Baltimore/Washington International Airport,MD,Digital Board,Traveling Moms,1959.5400000000002,118987.28571428571,3
2023-01-06,CLT,Charlotte Douglas International Airport,NC,Jet Bridge,Frequent Flyers,2544.2485714285717,147169.14285714287,7
2023-01-06,DEN,Denver International Airport,CO,Baggage Claim Display,Traveling Moms,2292.0285714285715,130069.57142857143,10
2023-01-06,DFW,Dallas/Fort Worth International Airport,TX,Baggage Claim Display,Frequent Flyers,1486.95,73451.42857142857,8
2023-01-06,DTW,Detroit Metropolitan Airport,MI,Jet Bridge,Frequent Flyers,2996.6228571428574,148666.7142857143,6
2023-01-06,IAH,George Bush Intercontinental Airport,TX,Baggage Claim Display,Family Leisure Travelers,2552.7428571428572,122006.57142857143,8
2023-01-06,JFK,John F. Kennedy International Airport,NY,Concourse Wrap,Frequent Flyers,2590.367142857143,116470.42857142857,5
2023-01-06,LAS,Harry Reid International Airport,NV,Jet Bridge,General Travelers,2205.302857142857,127584.14285714286,7
2023-01-06,LAX,Los Angeles International Airport,CA,Concourse Wrap,General Travelers,2624.9900000000002,168139.7142857143,9
2023-01-06,LGA,LaGuardia Airport,NY,Digital Board,Frequent Flyers,2619.1357142857146,133835.2857142857,8
2023-01-06,MCO,Orlando International Airport,FL,Baggage Claim Display,Traveling Moms,2223.6814285714286,132916.0,5
2023-01-06,MIA,Miami International Airport,FL,Digital Board,Frequent Flyers,1922.087142857143,105671.42857142857,4
2023-01-06,MSP,Minneapolis–Saint Paul International Airport,MN,Digital Board,General Travelers,2466.8614285714284,107998.0,5
2023-01-06,ORD,Chicago O'Hare International Airport,IL,Concourse Wrap,General Travelers,2319.8985714285714,111471.85714285714,6
2023-01-06,PHL,Philadelphia International Airport,PA,Baggage Claim Display,General Travelers,2072.9700000000003,91684.42857142857,6
2023-01-06,PHX,Phoenix Sky Harbor International Airport,AZ,Concourse Wrap,Frequent Flyers,2106.134285714286,89577.71428571429,5
2023-01-06,SEA,Seattle–Tacoma International Airport,WA,Baggage Claim Display,General Travelers,1882.222857142857,76285.85714285714,11
2023-01-06,SFO,San Francisco International Airport,CA,Jet Bridge,Family Leisure Travelers,2111.327142857143,91089.57142857143,4
2023-01-07,ATL,Hartsfield–Jackson Atlanta International Airport,GA,Baggage Claim Display,Traveling Moms,1800.93,96719.85714285714,5
2023-01-07,BOS,Logan International Airport,MA,Jet Bridge,General Travelers,1990.5185714285712,99702.0,8
2023-01-07,BWI,Baltimore/Washington International Airport,MD,Digital Board,Traveling Moms,1959.5400000000002,118987.28571428571,3
2023-01-07,CLT,Charlotte Douglas International Airport,NC,Jet Bridge,Frequent Flyers,2544.2485714285717,147169.14285714287,7
2023-01-07,DEN,Denver International Airport,CO,Baggage Claim Display,Traveling Moms,2292.0285714285715,130069.57142857143,10
2023-01-07,DFW,Dallas/Fort Worth International Airport,TX,Baggage Claim Display,Frequent Flyers,1486.95,73451.42857142857,8
2023-01-07,DTW,Detroit Metropolitan Airport,MI,Jet Bridge,Frequent Flyers,2996.6228571428574,148666.7142857143,6
2023-01-07,IAH,George Bush Intercontinental Airport,TX,Baggage Claim Display,Family Leisure Travelers,2552.7428571428572,122006.57142857143,8
2023-01-07,JFK,John F. Kennedy International Airport,NY,Concourse Wrap,Frequent Flyers,2590.367142857143,116470.42857142857,5
2023-01-07,LAS,Harry Reid International Airport,NV,Jet Bridge,General Travelers,2205.302857142857,127584.14285714286,7
2023-01-07,LAX,Los Angeles International Airport,CA,Concourse Wrap,General Travelers,2624.9900000000002,168139.7142857143,9
2023-01-07,LGA,LaGuardia Airport,NY,Digital Board,Frequent Flyers,2619.1357142857146,133835.2857142857,8
2023-01-07,MCO,Orlando International Airport,FL,Baggage Claim Display,Traveling Moms,2223.6814285714286,132916.0,5
2023-01-07,MIA,Miami International Airport,FL,Digital Board,Frequent Flyers,1922.087142857143,105671.42857142857,4
2023-01-07,MSP,Minneapolis–Saint Paul International Airport,MN,Digital Board,General Travelers,2466.8614285714284,107998.0,5
2023-01-07,ORD,Chicago O'Hare International Airport,IL,Concourse Wrap,General Travelers,2319.8985714285714,111471.85714285714,6
2023-01-07,PHL,Philadelphia International Airport,PA,Baggage Claim Display,General Travelers,2072.9700000000003,91684.42857142857,6
2023-01-07,PHX,Phoenix Sky Harbor International Airport,AZ,Concourse Wrap,Frequent Flyers,2106.134285714286,89577.71428571429,5
2023-01-07,SEA,Seattle–Tacoma International Airport,WA,Baggage Claim Display,General Travelers,1882.222857142857,76285.85714285714,11
2023-01-07,SFO,San Francisco International Airport,CA,Jet Bridge,Family Leisure Travelers,2111.327142857143,91089.57142857143,4
2023-01-08,ATL,Hartsfield–Jackson Atlanta International Airport,GA,Baggage Claim Display,Traveling Moms,1800.93,96719.85714285714,5
2023-01-08,BOS,Logan International Airport,MA,Jet Bridge,General Travelers,1990.5185714285712,99702.0,8
2023-01-08,BWI,Baltimore/Washington International Airport,MD,Digital Board,Traveling Moms,1959.5400000000002,118987.28571428571,3
2023-01-08,CLT,Charlotte Douglas International Airport,NC,Jet Bridge,Frequent Flyers,2544.2485714285717,147169.14285714287,7
2023-01-08,DEN,Denver International Airport,CO,Baggage Claim Display,Traveling Moms,2292.0285714285715,130069.57142857143,10
2023-01-08,DFW,Dallas/Fort Worth International Airport,TX,Baggage Claim Display,Frequent Flyers,1486.95,73451.42857142857,8
2023-01-08,DTW,Detroit Metropolitan Airport,MI,Jet Bridge,Frequent Flyers,2996.6228571428574,148666.7142857143,6
2023-01-08,IAH,George Bush Intercontinental Airport,TX,Baggage Claim Display,Family Leisure Travelers,2552.7428571428572,122006.57142857143,8
2023-01-08,JFK,John F. Kennedy International Airport,NY,Concourse Wrap,Frequent Flyers,2590.367142857143,116470.42857142857,5
2023-01-08,LAS,Harry Reid International Airport,NV,Jet Bridge,General Travelers,2205.302857142857,127584.14285714286,7
2023-01-08,LAX,Los Angeles International Airport,CA,Concourse Wrap,General Travelers,2624.9900000000002,168139.7142857143,9
2023-01-08,LGA,LaGuardia Airport,NY,Digital Board,Frequent Flyers,2619.1357142857146,133835.2857142857,8
2023-01-08,MCO,Orlando International Airport,FL,Baggage Claim Display,Traveling Moms,2223.6814285714286,132916.0,5
2023-01-08,MIA,Miami International Airport,FL,Digital Board,Frequent Flyers,1922.087142857143,105671.42857142857,4
2023-01-08,MSP,Minneapolis–Saint Paul International Airport,MN,Digital Board,General Travelers,2466.8614285714284,107998.0,5
2023-01-08,ORD,Chicago O'Hare International Airport,IL,Concourse Wrap,General Travelers,2319.8985714285714,111471.85714285714,6
2023-01-08,PHL,Philadelphia International Airport,PA,Baggage Claim Display,General Travelers,2072.9700000000003,91684.42857142857,6
2023-01-08,PHX,Phoenix Sky Harbor International Airport,AZ,Concourse Wrap,Frequent Flyers,2106.134285714286,89577.71428571429,5
2023-01-08,SEA,Seattle–Tacoma International Airport,WA,Baggage Claim Display,General Travelers,1882.222857142857,76285.85714285714,11
2023-01-08,SFO,San Francisco International Airport,CA,Jet Bridge,Family Leisure Travelers,2111.327142857143,91089.57142857143,4
2023-01-09,ATL,Hartsfield–Jackson Atlanta International Airport,GA,Baggage Claim Display,General Travelers,2432.6671428571426,99184.57142857143,3
2023-01-09,BOS,Logan International Airport,MA,Concourse Wrap,Frequent Flyers,2231.862857142857,119182.71428571429,9
2023-01-09,BWI,Baltimore/Washington International Airport,MD,Digital Board,General Travelers,2714.612857142857,122180.14285714286,10
2023-01-09,CLT,Charlotte Douglas International Airport,NC,Concourse Wrap,Family Leisure Travelers,2237.15,93493.14285714286,9
2023-01-09,DEN,Denver International Airport,CO,Digital Board,Family Leisure Travelers,2052.19,117393.28571428571,10
2023-01-09,DFW,Dallas/Fort Worth International Airport,TX,Baggage Claim Display,General Travelers,2160.235714285714,86789.85714285714,6
2023-01-09,DTW,Detroit Metropolitan Airport,MI,Baggage Claim Display,General Travelers,2447.3528571428574,157531.85714285713,10
2023-01-09,IAH,George Bush Intercontinental Airport,TX,Concourse Wrap,Traveling Moms,2123.88,85164.28571428571,8
2023-01-09,JFK,John F. Kennedy International Airport,NY,Jet Bridge,Family Leisure Travelers,2819.067142857143,129225.57142857143,7
2023-01-09,LAS,Harry Reid International Airport,NV,Baggage Claim Display,Frequent Flyers,2223.058571428571,126361.71428571429,8
2023-01-09,LAX,Los Angeles International Airport,CA,Concourse Wrap,Traveling Moms,1926.1242857142859,117801.0,5
2023-01-09,LGA,LaGuardia Airport,NY,Concourse Wrap,Frequent Flyers,2160.2014285714286,106263.0,7
2023-01-09,MCO,Orlando International Airport,FL,Baggage Claim Display,General Travelers,1561.4042857142856,65818.42857142857,7
2023-01-09,MIA,Miami International Airport,FL,Jet Bridge,Family Leisure Travelers,2430.692857142857,124238.42857142857,5
2023-01-09,MSP,Minneapolis–Saint Paul International Airport,MN,Digital Board,Frequent Flyers,2699.0414285714287,168614.85714285713,3
2023-01-09,ORD,Chicago O'Hare International Airport,IL,Digital Board,Traveling Moms,2757.2642857142855,129344.71428571429,10
2023-01-09,PHL,Philadelphia International Airport,PA,Digital Board,General Travelers,2586.407142857143,111508.57142857143,5
2023-01-09,PHX,Phoenix Sky Harbor International Airport,AZ,Baggage Claim Display,Family Leisure Travelers,1837.5357142857142,92342.0,7
2023-01-09,SEA,Seattle–Tacoma International Airport,WA,Jet Bridge,Frequent Flyers,2525.815714285714,150094.0,6
2023-01-09,SFO,San Francisco International Airport,CA,Digital Board,Frequent Flyers,2174.0299999999997,135394.85714285713,6
2023-01-10,ATL,Hartsfield–Jackson Atlanta International Airport,GA,Baggage Claim Display,General Travelers,2432.6671428571426,99184.57142857143,3
2023-01-10,BOS,Logan International Airport,MA,Concourse Wrap,Frequent Flyers,2231.862857142857,119182.71428571429,9
2023-01-10,BWI,Baltimore/Washington International Airport,MD,Digital Board,General Travelers,2714.612857142857,122180.14285714286,10
2023-01-10,CLT,Charlotte Douglas International Airport,NC,Concourse Wrap,Family Leisure Travelers,2237.15,93493.14285714286,9
2023-01-10,DEN,Denver International Airport,CO,Digital Board,Family Leisure Travelers,2052.19,117393.28571428571,10
2023-01-10,DFW,Dallas/Fort Worth International Airport,TX,Baggage Claim Display,General Travelers,2160.235714285714,86789.85714285714,6
2023-01-10,DTW,Detroit Metropolitan Airport,MI,Baggage Claim Display,General Travelers,2447.3528571428574,157531.85714285713,10
2023-01-10,IAH,George Bush Intercontinental Airport,TX,Concourse Wrap,Traveling Moms,2123.88,85164.28571428571,8
2023-01-10,JFK,John F. Kennedy International Airport,NY,Jet Bridge,Family Leisure Travelers,2819.067142857143,129225.57142857143,7
2023-01-10,LAS,Harry Reid International Airport,NV,Baggage Claim Display,Frequent Flyers,2223.058571428571,126361.71428571429,8
2023-01-10,LAX,Los Angeles International Airport,CA,Concourse Wrap,Traveling Moms,1926.1242857142859,117801.0,5
2023-01-10,LGA,LaGuardia Airport,NY,Concourse Wrap,Frequent Flyers,2160.2014285714286,106263.0,7
2023-01-10,MCO,Orlando International Airport,FL,Baggage Claim Display,General Travelers,1561.4042857142856,65818.42857142857,7
2023-01-10,MIA,Miami International Airport,FL,Jet Bridge,Family Leisure Travelers,2430.692857142857,124238.42857142857,5
2023-01-10,MSP,Minneapolis–Saint Paul International Airport,MN,Digital Board,Frequent Flyers,2699.0414285714287,168614.85714285713,3
2023-01-10,ORD,Chicago O'Hare International Airport,IL,Digital Board,Traveling Moms,2757.2642857142855,129344.71428571429,10
2023-01-10,PHL,Philadelphia International Airport,PA,Digital Board,General Travelers,2586.407142857143,111508.57142857143,5
2023-01-10,PHX,Phoenix Sky Harbor International Airport,AZ,Baggage Claim Display,Family Leisure Travelers,1837.5357142857142,92342.0,7
2023-01-10,SEA,Seattle–Tacoma International Airport,WA,Jet Bridge,Frequent Flyers,2525.815714285714,150094.0,6
2023-01-10,SFO,San Francisco International Airport,CA,Digital Board,Frequent Flyers,2174.0299999999997,135394.85714285713,6
2023-01-11,ATL,Hartsfield–Jackson Atlanta International Airport,GA,Baggage Claim Display,General Travelers,2432.6671428571426,99184.57142857143,3
2023-01-11,BOS,Logan International Airport,MA,Concourse Wrap,Frequent Flyers,2231.862857142857,119182.71428571429,9
2023-01-11,BWI,Baltimore/Washington International Airport,MD,Digital Board,General Travelers,2714.612857142857,122180.14285714286,10
2023-01-11,CLT,Charlotte Douglas International Airport,NC,Concourse Wrap,Family Leisure Travelers,2237.15,93493.14285714286,9
2023-01-11,DEN,Denver International Airport,CO,Digital Board,Family Leisure Travelers,2052.19,117393.28571428571,10
2023-01-11,DFW,Dallas/Fort Worth International Airport,TX,Baggage Claim Display,General Travelers,2160.235714285714,86789.85714285714,6
2023-01-11,DTW,Detroit Metropolitan Airport,MI,Baggage Claim Display,General Travelers,2447.3528571428574,157531.85714285713,10
2023-01-11,IAH,George Bush Intercontinental Airport,TX,Concourse Wrap,Traveling Moms,2123.88,85164.28571428571,8
2023-01-11,JFK,John F. Kennedy International Airport,NY,Jet Bridge,Family Leisure Travelers,2819.067142857143,129225.57142857143,7
2023-01-11,LAS,Harry Reid International Airport,NV,Baggage Claim Display,Frequent Flyers,2223.058571428571,126361.71428571429,8
2023-01-11,LAX,Los Angeles International Airport,CA,Concourse Wrap,Traveling Moms,1926.1242857142859,117801.0,5
2023-01-11,LGA,LaGuardia Airport,NY,Concourse Wrap,Frequent Flyers,2160.2014285714286,106263.0,7
2023-01-11,MCO,Orlando International Airport,FL,Baggage Claim Display,General Travelers,1561.4042857142856,65818.42857142857,7
2023-01-11,MIA,Miami International Airport,FL,Jet Bridge,Family Leisure Travelers,2430.692857142857,124238.42857142857,5
2023-01-11,MSP,Minneapolis–Saint Paul International Airport,MN,Digital Board,Frequent Flyers,2699.0414285714287,168614.85714285713,3
2023-01-11,ORD,Chicago O'Hare International Airport,IL,Digital Board,Traveling Moms,2757.2642857142855,129344.71428571429,10
2023-01-11,PHL,Philadelphia International Airport,PA,Digital Board,General Travelers,2586.407142857143,111508.57142857143,5
2023-01-11,PHX,Phoenix Sky Harbor International Airport,AZ,Baggage Claim Display,Family Leisure Travelers,1837.5357142857142,92342.0,7
2023-01-11,SEA,Seattle–Tacoma International Airport,WA,Jet Bridge,Frequent Flyers,2525.815714285714,150094.0,6
2023-01-11,SFO,San Francisco International Airport,CA,Digital Board,Frequent Flyers,2174.0299999999997,135394.85714285713,6
2023-01-12,ATL,Hartsfield–Jackson Atlanta International Airport,GA,Baggage Claim Display,General Travelers,2432.6671428571426,99184.57142857143,3
2023-01-12,BOS,Logan International Airport,MA,Concourse Wrap,Frequent Flyers,2231.862857142857,119182.71428571429,9
2023-01-12,BWI,Baltimore/Washington International Airport,MD,Digital Board,General Travelers,2714.612857142857,122180.14285714286,10
2023-01-12,CLT,Charlotte Douglas International Airport,NC,Concourse Wrap,Family Leisure Travelers,2237.15,93493.14285714286,9
2023-01-12,DEN,Denver International Airport,CO,Digital Board,Family Leisure Travelers,2052.19,117393.28571428571,10
2023-01-12,DFW,Dallas/Fort Worth International Airport,TX,Baggage Claim Display,General Travelers,2160.235714285714,86789.85714285714,6
2023-01-12,DTW,Detroit Metropolitan Airport,MI,Baggage Claim Display,General Travelers,2447.3528571428574,157531.85714285713,10
2023-01-12,IAH,George Bush Intercontinental Airport,TX,Concourse Wrap,Traveling Moms,2123.88,85164.28571428571,8
2023-01-12,JFK,John F. Kennedy International Airport,NY,Jet Bridge,Family Leisure Travelers,2819.067142857143,129225.57142857143,7
2023-01-12,LAS,Harry Reid International Airport,NV,Baggage Claim Display,Frequent Flyers,2223.058571428571,126361.71428571429,8
2023-01-12,LAX,Los Angeles International Airport,CA,Concourse Wrap,Traveling Moms,1926.1242857142859,117801.0,5
2023-01-12,LGA,LaGuardia Airport,NY,Concourse Wrap,Frequent Flyers,2160.2014285714286,106263.0,7
2023-01-12,MCO,Orlando International Airport,FL,Baggage Claim Display,General Travelers,1561.4042857142856,65818.42857142857,7
2023-01-12,MIA,Miami International Airport,FL,Jet Bridge,Family Leisure Travelers,2430.692857142857,124238.42857142857,5
2023-01-12,MSP,Minneapolis–Saint Paul International Airport,MN,Digital Board,Frequent Flyers,2699.0414285714287,168614.85714285713,3
2023-01-12,ORD,Chicago O'Hare International Airport,IL,Digital Board,Traveling Moms,2757.2642857142855,129344.71428571429,10
2023-01-12,PHL,Philadelphia International Airport,PA,Digital Board,General Travelers,2586.407142857143,111508.57142857143,5
2023-01-12,PHX,Phoenix Sky Harbor International Airport,AZ,Baggage Claim Display,Family Leisure Travelers,1837.5357142857142,92342.0,7
2023-01-12,SEA,Seattle–Tacoma International Airport,WA,Jet Bridge,Frequent Flyers,2525.815714285714,150094.0,6
2023-01-12,SFO,San Francisco International Airport,CA,Digital Board,Frequent Flyers,2174.0299999999997,135394.85714285713,6
2023-01-13,ATL,Hartsfield–Jackson Atlanta International Airport,GA,Baggage Claim Display,General Travelers,2432.6671428571426,99184.57142857143,3
2023-01-13,BOS,Logan International Airport,MA,Concourse Wrap,Frequent Flyers,2231.862857142857,119182.71428571429,9
2023-01-13,BWI,Baltimore/Washington International Airport,MD,Digital Board,General Travelers,2714.612857142857,122180.14285714286,10
2023-01-13,CLT,Charlotte Douglas International Airport,NC,Concourse Wrap,Family Leisure Travelers,2237.15,93493.14285714286,9
2023-01-13,DEN,Denver International Airport,CO,Digital Board,Family Leisure Travelers,2052.19,117393.28571428571,10
2023-01-13,DFW,Dallas/Fort Worth International Airport,TX,Baggage Claim Display,General Travelers,2160.235714285714,86789.85714285714,6
2023-01-13,DTW,Detroit Metropolitan Airport,MI,Baggage Claim Display,General Travelers,2447.3528571428574,157531.85714285713,10
2023-01-13,IAH,George Bush Intercontinental Airport,TX,Concourse Wrap,Traveling Moms,2123.88,85164.28571428571,8
