date,channel,campaign_name,campaign_id,dma_name,state,spend,impressions,link_clicks,video_views,video_75pct,video_completes,optimization_goal,age_target,audience_segment
2023-08-15,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,414.28,23155,243,13198,6690,4837,Conversions,25-34,Teen Daughters
2024-01-31,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,97.42,5064,105,2593,993,881,Video Views,25-34,Suburban Moms
2023-03-09,Pinterest,Pinterest BTS Moms,PI_6623,"Atlanta, GA",GA,216.74,11555,246,3602,1086,671,Conversions,18-24,Suburban Moms
2024-02-14,Pinterest,Pinterest Always On,PI_4556,"Columbus, GA",GA,174.52,11526,343,4825,2135,1438,Video Views,25-34,Moms & Daughters
2023-11-22,Pinterest,Pinterest BTS Moms,PI_6623,"Augusta, GA",GA,125.63,8476,119,5030,1929,1362,Conversions,35-44,Suburban Moms
2023-10-24,Pinterest,Pinterest Teen Trends,PI_4922,"Macon, GA",GA,57.88,2541,99,1070,498,302,Conversions,35-44,Suburban Moms
2023-04-09,Pinterest,Pinterest Teen Trends,PI_4922,"Macon, GA",GA,164.78,10685,363,3567,1531,930,Video Views,35-44,Teen Daughters
2023-09-25,Pinterest,Pinterest BTS Moms,PI_6623,"Augusta, GA",GA,156.6,6838,189,3009,1750,1483,Conversions,25-34,Moms & Daughters
2023-04-18,Pinterest,Pinterest Teen Trends,PI_4922,"Columbus, GA",GA,127.69,5172,71,1772,1032,942,Conversions,18-24,Moms & Daughters
2024-01-29,Pinterest,Pinterest BTS Moms,PI_6623,"Columbus, GA",GA,257.86,13728,324,5260,2464,2097,Video Views,18-24,Moms & Daughters
2023-02-02,Pinterest,Pinterest Teen Trends,PI_4922,"Augusta, GA",GA,185.76,10987,206,5124,1508,1280,Conversions,25-34,Moms & Daughters
2023-03-30,Pinterest,Pinterest BTS Moms,PI_6623,"Atlanta, GA",GA,86.27,3790,60,1274,400,324,Traffic,25-34,Suburban Moms
2024-04-06,Pinterest,Pinterest Always On,PI_4556,"Augusta, GA",GA,76.5,3961,77,1804,941,565,Video Views,25-34,Teen Daughters
2023-03-05,Pinterest,Pinterest BTS Moms,PI_6623,"Columbus, GA",GA,336.2,13741,299,5690,1791,1462,Video Views,13-17,Moms & Daughters
2023-04-16,Pinterest,Pinterest Always On,PI_4556,"Macon, GA",GA,54.1,3404,128,1808,684,467,Conversions,13-17,Moms & Daughters
2024-02-16,Pinterest,Pinterest Teen Trends,PI_4922,"Macon, GA",GA,130.67,6001,192,1975,909,787,Traffic,13-17,Teen Daughters
2023-07-20,Pinterest,Pinterest BTS Moms,PI_6623,"Columbus, GA",GA,250.39,14991,373,7572,3752,3236,Conversions,18-24,Teen Daughters
2023-12-09,Pinterest,Pinterest Always On,PI_4556,"Macon, GA",GA,156.81,8908,180,2875,1522,1308,Conversions,35-44,Suburban Moms
2023-04-05,Pinterest,Pinterest Teen Trends,PI_4922,"Augusta, GA",GA,124.16,8578,243,4391,2707,2307,Conversions,18-24,Suburban Moms
2023-11-22,Pinterest,Pinterest Teen Trends,PI_4922,"Savannah, GA",GA,374.14,15740,418,6830,2904,1746,Video Views,13-17,Teen Daughters
2023-05-26,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,32.8,2133,46,1065,686,615,Conversions,25-34,Moms & Daughters
2024-05-14,Pinterest,Pinterest Always On,PI_4556,"Augusta, GA",GA,172.9,9502,191,3525,1332,1183,Conversions,35-44,Teen Daughters
2023-02-13,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,124.35,7256,76,3993,1631,1514,Video Views,13-17,Moms & Daughters
2023-10-14,Pinterest,Pinterest Always On,PI_4556,"Columbus, GA",GA,238.0,15276,159,8685,2825,2397,Video Views,35-44,Teen Daughters
2023-10-05,Pinterest,Pinterest Always On,PI_4556,"Columbus, GA",GA,41.09,2116,28,1160,471,345,Conversions,35-44,Moms & Daughters
2024-06-23,Pinterest,Pinterest BTS Moms,PI_6623,"Atlanta, GA",GA,62.17,4239,50,2465,926,658,Video Views,13-17,Moms & Daughters
2023-09-26,Pinterest,Pinterest Always On,PI_4556,"Macon, GA",GA,44.43,2174,25,877,365,305,Conversions,18-24,Teen Daughters
2023-11-11,Pinterest,Pinterest Teen Trends,PI_4922,"Augusta, GA",GA,34.02,1896,52,984,350,270,Traffic,25-34,Teen Daughters
2024-02-21,Pinterest,Pinterest Always On,PI_4556,"Savannah, GA",GA,298.0,17061,312,8752,3967,2840,Traffic,18-24,Moms & Daughters
2023-10-10,Pinterest,Pinterest Teen Trends,PI_4922,"Augusta, GA",GA,63.87,4415,116,2315,1013,907,Traffic,18-24,Suburban Moms
2024-01-03,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,193.54,11116,127,4517,1853,1612,Video Views,13-17,Teen Daughters
2023-02-24,Pinterest,Pinterest Teen Trends,PI_4922,"Atlanta, GA",GA,122.36,6937,234,3196,1364,1205,Traffic,13-17,Suburban Moms
2023-10-28,Pinterest,Pinterest BTS Moms,PI_6623,"Atlanta, GA",GA,103.96,4850,108,2908,1459,1118,Video Views,18-24,Teen Daughters
2023-05-02,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,110.83,5739,88,3231,1131,945,Traffic,25-34,Moms & Daughters
2024-03-04,Pinterest,Pinterest BTS Moms,PI_6623,"Savannah, GA",GA,242.89,11852,377,5268,2726,1873,Video Views,18-24,Moms & Daughters
2023-07-29,Pinterest,Pinterest Teen Trends,PI_4922,"Macon, GA",GA,88.3,4289,122,1563,746,601,Traffic,35-44,Teen Daughters
2024-05-31,Pinterest,Pinterest BTS Moms,PI_6623,"Columbus, GA",GA,66.03,3679,136,1166,560,505,Conversions,25-34,Moms & Daughters
2024-06-09,Pinterest,Pinterest Teen Trends,PI_4922,"Columbus, GA",GA,65.11,3988,144,1696,898,654,Conversions,13-17,Suburban Moms
2023-01-18,Pinterest,Pinterest Always On,PI_4556,"Augusta, GA",GA,71.44,4392,57,1400,674,525,Conversions,35-44,Suburban Moms
2023-03-12,Pinterest,Pinterest Always On,PI_4556,"Savannah, GA",GA,212.95,8767,158,3816,998,681,Video Views,35-44,Suburban Moms
2024-04-10,Pinterest,Pinterest Teen Trends,PI_4922,"Atlanta, GA",GA,113.85,7385,264,2525,872,686,Conversions,35-44,Moms & Daughters
2023-05-04,Pinterest,Pinterest Always On,PI_4556,"Savannah, GA",GA,129.2,7076,122,2134,1017,679,Conversions,25-34,Suburban Moms
2023-04-27,Pinterest,Pinterest BTS Moms,PI_6623,"Atlanta, GA",GA,44.97,2761,85,1359,444,295,Video Views,25-34,Teen Daughters
2024-03-28,Pinterest,Pinterest Always On,PI_4556,"Macon, GA",GA,133.93,8201,245,2791,1243,769,Video Views,25-34,Teen Daughters
2023-07-31,Pinterest,Pinterest Teen Trends,PI_4922,"Augusta, GA",GA,214.12,9712,151,3925,1166,1059,Traffic,35-44,Teen Daughters
2024-06-10,Pinterest,Pinterest Always On,PI_4556,"Macon, GA",GA,73.43,4630,174,1523,661,510,Video Views,25-34,Teen Daughters
2023-07-22,Pinterest,Pinterest Teen Trends,PI_4922,"Columbus, GA",GA,32.29,1511,47,688,198,148,Video Views,13-17,Teen Daughters
2023-07-30,Pinterest,Pinterest Teen Trends,PI_4922,"Savannah, GA",GA,71.58,4949,121,1593,429,259,Traffic,25-34,Moms & Daughters
2024-05-17,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,125.54,5127,167,2558,1195,996,Conversions,18-24,Suburban Moms
2023-07-29,Pinterest,Pinterest BTS Moms,PI_6623,"Atlanta, GA",GA,91.06,5933,204,2981,1319,1062,Traffic,35-44,Teen Daughters
2024-04-27,Pinterest,Pinterest BTS Moms,PI_6623,"Macon, GA",GA,214.31,9913,374,3853,2060,1700,Conversions,18-24,Moms & Daughters
2024-04-01,Pinterest,Pinterest Always On,PI_4556,"Augusta, GA",GA,111.39,7628,131,4401,1561,1108,Video Views,18-24,Suburban Moms
2024-06-28,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,53.72,3333,101,1077,438,403,Conversions,35-44,Teen Daughters
2023-10-22,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,329.96,15237,428,5543,2548,2241,Traffic,25-34,Suburban Moms
2023-04-05,Pinterest,Pinterest Teen Trends,PI_4922,"Savannah, GA",GA,86.19,5215,139,2562,1168,930,Conversions,25-34,Suburban Moms
2023-11-16,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,138.57,7897,152,4590,2454,2321,Traffic,13-17,Suburban Moms
2024-01-21,Pinterest,Pinterest Always On,PI_4556,"Macon, GA",GA,238.78,11634,160,3649,1055,657,Conversions,13-17,Suburban Moms
2023-02-17,Pinterest,Pinterest Teen Trends,PI_4922,"Atlanta, GA",GA,50.21,2827,111,1260,603,548,Video Views,25-34,Suburban Moms
2023-11-12,Pinterest,Pinterest Always On,PI_4556,"Savannah, GA",GA,162.22,7044,152,3825,1023,870,Traffic,35-44,Moms & Daughters
2023-07-11,Pinterest,Pinterest BTS Moms,PI_6623,"Atlanta, GA",GA,349.84,20821,345,8083,4574,3246,Video Views,35-44,Suburban Moms
2024-06-14,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,177.84,9502,234,5181,2458,2227,Conversions,18-24,Teen Daughters
2024-06-14,Pinterest,Pinterest BTS Moms,PI_6623,"Atlanta, GA",GA,311.26,12980,287,5305,2460,2302,Traffic,25-34,Suburban Moms
2023-01-22,Pinterest,Pinterest BTS Moms,PI_6623,"Savannah, GA",GA,91.92,5851,158,2518,1120,956,Traffic,18-24,Teen Daughters
2023-05-18,Pinterest,Pinterest Always On,PI_4556,"Columbus, GA",GA,46.98,2316,75,1055,504,318,Conversions,18-24,Suburban Moms
2024-04-28,Pinterest,Pinterest BTS Moms,PI_6623,"Atlanta, GA",GA,110.43,7058,277,3593,1162,706,Conversions,35-44,Suburban Moms
2023-12-13,Pinterest,Pinterest Always On,PI_4556,"Augusta, GA",GA,209.12,11945,189,5780,2016,1676,Video Views,25-34,Suburban Moms
2024-03-03,Pinterest,Pinterest BTS Moms,PI_6623,"Columbus, GA",GA,132.59,5474,214,2224,948,730,Traffic,18-24,Moms & Daughters
2023-01-07,Pinterest,Pinterest BTS Moms,PI_6623,"Savannah, GA",GA,136.6,7072,253,2356,1030,780,Traffic,25-34,Moms & Daughters
2023-11-20,Pinterest,Pinterest BTS Moms,PI_6623,"Savannah, GA",GA,290.79,18302,214,9593,5500,5174,Conversions,25-34,Suburban Moms
2024-05-29,Pinterest,Pinterest BTS Moms,PI_6623,"Augusta, GA",GA,141.87,8351,265,4607,1341,920,Video Views,18-24,Suburban Moms
2023-11-29,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,382.12,21434,320,12490,4045,3087,Conversions,18-24,Moms & Daughters
2023-06-01,Pinterest,Pinterest Always On,PI_4556,"Augusta, GA",GA,104.05,5530,148,2512,1026,749,Traffic,35-44,Moms & Daughters
2023-01-07,Pinterest,Pinterest Always On,PI_4556,"Macon, GA",GA,328.59,17339,326,9804,2998,2140,Video Views,25-34,Teen Daughters
2023-11-03,Pinterest,Pinterest Teen Trends,PI_4922,"Atlanta, GA",GA,323.08,21330,530,9654,3717,3153,Traffic,13-17,Teen Daughters
2023-02-17,Pinterest,Pinterest Teen Trends,PI_4922,"Augusta, GA",GA,97.72,5768,220,2694,840,529,Conversions,25-34,Teen Daughters
2024-04-18,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,206.49,8594,237,4140,1478,1364,Conversions,25-34,Suburban Moms
2024-05-22,Pinterest,Pinterest Teen Trends,PI_4922,"Columbus, GA",GA,123.71,6129,143,1935,970,860,Video Views,35-44,Suburban Moms
2023-02-03,Pinterest,Pinterest Always On,PI_4556,"Augusta, GA",GA,58.01,3980,61,1390,788,543,Video Views,13-17,Suburban Moms
