week_start_date,airport_code,airport_name,spend,impressions,placements,format,audience_segment
2023-01-09,SFO,San Francisco International Airport,15218.21,947764,6,Digital Board,Frequent Flyers
2023-01-09,SEA,Seattle–Tacoma International Airport,17680.71,1050658,6,Jet Bridge,Frequent Flyers
2023-01-09,LAS,Harry Reid International Airport,15561.41,884532,8,Baggage Claim Display,Frequent Flyers
2023-01-09,MCO,Orlando International Airport,10929.83,460729,7,Baggage Claim Display,General Travelers
2023-01-09,CLT,Charlotte Douglas International Airport,15660.05,654452,9,Concourse Wrap,Family Leisure Travelers
2023-01-09,MIA,Miami International Airport,17014.85,869669,5,Jet Bridge,Family Leisure Travelers
2023-01-09,PHX,Phoenix Sky Harbor International Airport,12862.75,646394,7,Baggage Claim Display,Family Leisure Travelers
2023-01-09,IAH,George Bush Intercontinental Airport,14867.16,596150,8,Concourse Wrap,Traveling Moms
2023-01-09,BOS,Logan International Airport,15623.04,834279,9,Concourse Wrap,Frequent Flyers
2023-01-09,MSP,Minneapolis–Saint Paul International Airport,18893.29,1180304,3,Digital Board,Frequent Flyers
2023-01-09,DTW,Detroit Metropolitan Airport,17131.47,1102723,10,Baggage Claim Display,General Travelers
2023-01-09,PHL,Philadelphia International Airport,18104.85,780560,5,Digital Board,General Travelers
2023-01-09,LGA,LaGuardia Airport,15121.41,743841,7,Concourse Wrap,Frequent Flyers
2023-01-09,BWI,Baltimore/Washington International Airport,19002.29,855261,10,Digital Board,General Travelers
2023-01-16,ATL,Hartsfield–Jackson Atlanta International Airport,13330.28,777334,10,Jet Bridge,Frequent Flyers
2023-01-16,LAX,Los Angeles International Airport,16856.88,813889,10,Digital Board,Traveling Moms
2023-01-16,ORD,Chicago O'Hare International Airport,15684.27,771812,7,Jet Bridge,Family Leisure Travelers
2023-01-16,DFW,Dallas/Fort Worth International Airport,12748.59,566258,3,Jet Bridge,Family Leisure Travelers
2023-01-16,DEN,Denver International Airport,19957.49,1131861,6,Digital Board,General Travelers
2023-01-16,JFK,John F. Kennedy International Airport,21090.93,967234,5,Digital Board,Family Leisure Travelers
2023-01-16,SFO,San Francisco International Airport,12675.66,804964,10,Concourse Wrap,Frequent Flyers
2023-01-16,SEA,Seattle–Tacoma International Airport,15349.07,764705,10,Jet Bridge,General Travelers
2023-01-16,LAS,Harry Reid International Airport,16501.16,680863,6,Digital Board,Family Leisure Travelers
2023-01-16,MCO,Orlando International Airport,20230.11,1204513,11,Digital Board,Traveling Moms
2023-01-16,CLT,Charlotte Douglas International Airport,15814.27,728950,11,Baggage Claim Display,Family Leisure Travelers
2023-01-16,MIA,Miami International Airport,18786.86,1125754,11,Concourse Wrap,Frequent Flyers
2023-01-16,PHX,Phoenix Sky Harbor International Airport,16501.36,985850,3,Jet Bridge,Family Leisure Travelers
2023-01-16,IAH,George Bush Intercontinental Airport,16691.04,756359,6,Concourse Wrap,Frequent Flyers
2023-01-16,BOS,Logan International Airport,16533.34,952086,9,Digital Board,General Travelers
2023-01-16,MSP,Minneapolis–Saint Paul International Airport,18419.62,813236,5,Concourse Wrap,Traveling Moms
2023-01-16,DTW,Detroit Metropolitan Airport,15304.19,939765,9,Concourse Wrap,Traveling Moms
2023-01-16,PHL,Philadelphia International Airport,14454.41,820507,8,Digital Board,Frequent Flyers
2023-01-16,LGA,LaGuardia Airport,13914.06,888236,7,Digital Board,Frequent Flyers
2023-01-16,BWI,Baltimore/Washington International Airport,17231.59,786703,8,Jet Bridge,General Travelers
2023-01-23,ATL,Hartsfield–Jackson Atlanta International Airport,18780.1,1180712,5,Digital Board,General Travelers
2023-01-23,LAX,Los Angeles International Airport,14957.27,732473,7,Concourse Wrap,Family Leisure Travelers
2023-01-23,ORD,Chicago O'Hare International Airport,16868.88,1054003,10,Concourse Wrap,General Travelers
2023-01-23,DFW,Dallas/Fort Worth International Airport,11653.09,656048,10,Concourse Wrap,Traveling Moms
2023-01-23,DEN,Denver International Airport,20069.46,1173482,8,Baggage Claim Display,Family Leisure Travelers
2023-01-23,JFK,John F. Kennedy International Airport,17545.57,787942,8,Digital Board,General Travelers
2023-01-23,SFO,San Francisco International Airport,16512.72,825431,9,Jet Bridge,Family Leisure Travelers
2023-01-23,SEA,Seattle–Tacoma International Airport,16538.33,682361,11,Concourse Wrap,Family Leisure Travelers
2023-01-23,LAS,Harry Reid International Airport,16343.58,988507,3,Jet Bridge,Frequent Flyers
2023-01-23,MCO,Orlando International Airport,16538.75,852595,7,Baggage Claim Display,Frequent Flyers
2023-01-23,CLT,Charlotte Douglas International Airport,14472.84,850409,6,Jet Bridge,General Travelers
2023-01-23,MIA,Miami International Airport,13538.58,587493,10,Baggage Claim Display,Frequent Flyers
2023-01-23,PHX,Phoenix Sky Harbor International Airport,15636.63,1011647,6,Digital Board,Frequent Flyers
2023-01-23,IAH,George Bush Intercontinental Airport,14453.34,797561,11,Concourse Wrap,Traveling Moms
2023-01-23,BOS,Logan International Airport,20500.51,893043,3,Baggage Claim Display,General Travelers
2023-01-23,MSP,Minneapolis–Saint Paul International Airport,11163.59,479143,10,Jet Bridge,Frequent Flyers
2023-01-23,DTW,Detroit Metropolitan Airport,15654.55,993718,5,Jet Bridge,Traveling Moms
2023-01-23,PHL,Philadelphia International Airport,16586.16,680055,8,Digital Board,Traveling Moms
2023-01-23,LGA,LaGuardia Airport,17710.4,989365,6,Jet Bridge,Traveling Moms
2023-01-23,BWI,Baltimore/Washington International Airport,19317.88,817624,9,Baggage Claim Display,Frequent Flyers
2023-01-30,ATL,Hartsfield–Jackson Atlanta International Airport,11501.49,582469,4,Baggage Claim Display,Traveling Moms
2023-01-30,LAX,Los Angeles International Airport,15755.24,727542,6,Baggage Claim Display,Frequent Flyers
2023-01-30,ORD,Chicago O'Hare International Airport,15541.49,797949,11,Digital Board,Family Leisure Travelers
2023-01-30,DFW,Dallas/Fort Worth International Airport,15181.9,855452,5,Jet Bridge,Family Leisure Travelers
2023-01-30,DEN,Denver International Airport,14171.13,608362,6,Concourse Wrap,General Travelers
2023-01-30,JFK,John F. Kennedy International Airport,18208.39,731052,6,Baggage Claim Display,Family Leisure Travelers
2023-01-30,SFO,San Francisco International Airport,18164.71,902422,9,Jet Bridge,Traveling Moms
2023-01-30,SEA,Seattle–Tacoma International Airport,15168.22,943049,8,Concourse Wrap,General Travelers
2023-01-30,LAS,Harry Reid International Airport,19463.79,972688,8,Concourse Wrap,General Travelers
2023-01-30,MCO,Orlando International Airport,12740.96,544825,6,Jet Bridge,Traveling Moms
2023-01-30,CLT,Charlotte Douglas International Airport,18893.85,796673,4,Baggage Claim Display,General Travelers
2023-01-30,MIA,Miami International Airport,14361.25,872708,10,Jet Bridge,General Travelers
2023-01-30,PHX,Phoenix Sky Harbor International Airport,14145.9,606556,8,Digital Board,Traveling Moms
2023-01-30,IAH,George Bush Intercontinental Airport,20179.85,1104064,8,Digital Board,General Travelers
2023-01-30,BOS,Logan International Airport,20089.9,1028315,10,Concourse Wrap,Frequent Flyers
2023-01-30,MSP,Minneapolis–Saint Paul International Airport,18195.87,821048,6,Jet Bridge,Frequent Flyers
2023-01-30,DTW,Detroit Metropolitan Airport,15300.71,780957,11,Baggage Claim Display,General Travelers
2023-01-30,PHL,Philadelphia International Airport,15277.41,945130,5,Concourse Wrap,Frequent Flyers
2023-01-30,LGA,LaGuardia Airport,18866.92,1041204,9,Baggage Claim Display,Family Leisure Travelers
2023-01-30,BWI,Baltimore/Washington International Airport,16527.42,708031,11,Concourse Wrap,Frequent Flyers
2023-02-06,ATL,Hartsfield–Jackson Atlanta International Airport,14359.51,695309,6,Jet Bridge,General Travelers
2023-02-06,LAX,Los Angeles International Airport,14837.35,833377,8,Concourse Wrap,Frequent Flyers
2023-02-06,ORD,Chicago O'Hare International Airport,14468.87,872495,4,Jet Bridge,Frequent Flyers
2023-02-06,DFW,Dallas/Fort Worth International Airport,13408.74,559277,11,Concourse Wrap,Traveling Moms
2023-02-06,DEN,Denver International Airport,16563.51,1042198,3,Baggage Claim Display,Traveling Moms
2023-02-06,JFK,John F. Kennedy International Airport,13531.89,690372,3,Baggage Claim Display,Frequent Flyers
2023-02-06,SFO,San Francisco International Airport,16922.09,701453,7,Jet Bridge,Traveling Moms
2023-02-06,SEA,Seattle–Tacoma International Airport,12811.42,753840,8,Jet Bridge,Traveling Moms
2023-02-06,LAS,Harry Reid International Airport,12189.77,784329,4,Digital Board,Frequent Flyers
2023-02-06,MCO,Orlando International Airport,17992.48,1054547,10,Concourse Wrap,Traveling Moms
2023-02-06,CLT,Charlotte Douglas International Airport,21000.85,1012625,7,Digital Board,Family Leisure Travelers
2023-02-06,MIA,Miami International Airport,18088.08,857563,5,Baggage Claim Display,Frequent Flyers
2023-02-06,PHX,Phoenix Sky Harbor International Airport,14436.1,732251,4,Concourse Wrap,Frequent Flyers
2023-02-06,IAH,George Bush Intercontinental Airport,17721.35,988785,10,Digital Board,Traveling Moms
2023-02-06,BOS,Logan International Airport,17852.47,810049,4,Baggage Claim Display,General Travelers
2023-02-06,MSP,Minneapolis–Saint Paul International Airport,15233.9,665584,3,Jet Bridge,Family Leisure Travelers
2023-02-06,DTW,Detroit Metropolitan Airport,14860.92,710072,11,Jet Bridge,Traveling Moms
2023-02-06,PHL,Philadelphia International Airport,10671.21,576395,7,Jet Bridge,General Travelers
2023-02-06,LGA,LaGuardia Airport,16805.96,675112,10,Jet Bridge,Traveling Moms
2023-02-06,BWI,Baltimore/Washington International Airport,15004.02,692862,9,Digital Board,General Travelers
2023-02-13,ATL,Hartsfield–Jackson Atlanta International Airport,11583.96,599199,8,Baggage Claim Display,Traveling Moms
2023-02-13,LAX,Los Angeles International Airport,12828.8,545034,11,Digital Board,Traveling Moms
2023-02-13,ORD,Chicago O'Hare International Airport,17659.9,706608,10,Concourse Wrap,Family Leisure Travelers
2023-02-13,DFW,Dallas/Fort Worth International Airport,14904.53,868412,4,Baggage Claim Display,Family Leisure Travelers
2023-02-13,DEN,Denver International Airport,17641.32,782815,6,Baggage Claim Display,General Travelers
2023-02-13,JFK,John F. Kennedy International Airport,14846.84,718183,6,Baggage Claim Display,Traveling Moms
2023-02-13,SFO,San Francisco International Airport,14164.05,782489,11,Jet Bridge,Family Leisure Travelers
2023-02-13,SEA,Seattle–Tacoma International Airport,17097.89,954997,5,Concourse Wrap,Frequent Flyers
2023-02-13,LAS,Harry Reid International Airport,17233.24,1022474,4,Digital Board,Traveling Moms
2023-02-13,MCO,Orlando International Airport,15864.52,848684,10,Jet Bridge,Frequent Flyers
2023-02-13,CLT,Charlotte Douglas International Airport,10901.65,469637,4,Digital Board,Traveling Moms
2023-02-13,MIA,Miami International Airport,12679.44,523031,10,Concourse Wrap,General Travelers
2023-02-13,PHX,Phoenix Sky Harbor International Airport,16195.98,737516,11,Digital Board,Frequent Flyers
2023-02-13,IAH,George Bush Intercontinental Airport,13325.45,859838,3,Baggage Claim Display,Traveling Moms
2023-02-13,BOS,Logan International Airport,17407.38,980510,11,Jet Bridge,Frequent Flyers
2023-02-13,MSP,Minneapolis–Saint Paul International Airport,15555.88,799465,6,Digital Board,General Travelers
2023-02-13,DTW,Detroit Metropolitan Airport,14275.7,857018,4,Concourse Wrap,Traveling Moms
2023-02-13,PHL,Philadelphia International Airport,15808.17,739261,8,Concourse Wrap,General Travelers
2023-02-13,LGA,LaGuardia Airport,14101.55,898603,9,Digital Board,Frequent Flyers
2023-02-13,BWI,Baltimore/Washington International Airport,18518.14,741148,10,Concourse Wrap,General Travelers
2023-02-20,ATL,Hartsfield–Jackson Atlanta International Airport,12472.22,607790,9,Digital Board,General Travelers
2023-02-20,LAX,Los Angeles International Airport,11452.68,519142,11,Baggage Claim Display,Family Leisure Travelers
2023-02-20,ORD,Chicago O'Hare International Airport,13429.34,606432,11,Concourse Wrap,General Travelers
2023-02-20,DFW,Dallas/Fort Worth International Airport,14836.52,693141,9,Digital Board,General Travelers
2023-02-20,DEN,Denver International Airport,15534.58,628768,8,Concourse Wrap,Traveling Moms
2023-02-20,JFK,John F. Kennedy International Airport,20106.28,1094374,8,Digital Board,Traveling Moms
2023-02-20,SFO,San Francisco International Airport,12472.33,574567,9,Digital Board,Family Leisure Travelers
2023-02-20,SEA,Seattle–Tacoma International Airport,12594.63,572466,4,Baggage Claim Display,General Travelers
2023-02-20,LAS,Harry Reid International Airport,15603.4,804934,5,Concourse Wrap,General Travelers
2023-02-20,MCO,Orlando International Airport,15379.39,883717,6,Digital Board,Traveling Moms
2023-02-20,CLT,Charlotte Douglas International Airport,19262.45,933221,3,Concourse Wrap,General Travelers
2023-02-20,MIA,Miami International Airport,12629.29,541685,8,Digital Board,Frequent Flyers
2023-02-20,PHX,Phoenix Sky Harbor International Airport,13121.03,760359,11,Concourse Wrap,General Travelers
2023-02-20,IAH,George Bush Intercontinental Airport,17220.22,841903,9,Digital Board,Frequent Flyers
2023-02-20,BOS,Logan International Airport,13225.22,791038,11,Jet Bridge,Traveling Moms
2023-02-20,MSP,Minneapolis–Saint Paul International Airport,14229.84,610053,7,Concourse Wrap,General Travelers
2023-02-20,DTW,Detroit Metropolitan Airport,11530.4,563692,9,Baggage Claim Display,Traveling Moms
2023-02-20,PHL,Philadelphia International Airport,19863.85,884043,5,Digital Board,General Travelers
2023-02-20,LGA,LaGuardia Airport,17211.49,998939,9,Baggage Claim Display,General Travelers
2023-02-20,BWI,Baltimore/Washington International Airport,12885.17,800195,8,Concourse Wrap,Frequent Flyers
2023-02-27,ATL,Hartsfield–Jackson Atlanta International Airport,20000.61,876736,9,Concourse Wrap,Family Leisure Travelers
2023-02-27,LAX,Los Angeles International Airport,12157.04,513732,11,Concourse Wrap,General Travelers
2023-02-27,ORD,Chicago O'Hare International Airport,17073.46,765777,3,Concourse Wrap,Frequent Flyers
2023-02-27,DFW,Dallas/Fort Worth International Airport,14706.27,872972,7,Concourse Wrap,General Travelers
2023-02-27,DEN,Denver International Airport,16328.52,1002821,6,Concourse Wrap,Traveling Moms
2023-02-27,JFK,John F. Kennedy International Airport,18840.75,835760,5,Concourse Wrap,Frequent Flyers
2023-02-27,SFO,San Francisco International Airport,16756.04,738131,9,Concourse Wrap,General Travelers
2023-02-27,SEA,Seattle–Tacoma International Airport,19720.14,1129539,3,Jet Bridge,Family Leisure Travelers
2023-02-27,LAS,Harry Reid International Airport,17279.96,879732,7,Concourse Wrap,General Travelers
2023-02-27,MCO,Orlando International Airport,10641.58,621294,11,Concourse Wrap,General Travelers
2023-02-27,CLT,Charlotte Douglas International Airport,17669.11,1139641,3,Concourse Wrap,Traveling Moms
2023-02-27,MIA,Miami International Airport,16570.52,1062091,8,Digital Board,Family Leisure Travelers
2023-02-27,PHX,Phoenix Sky Harbor International Airport,15001.64,805427,4,Digital Board,Frequent Flyers
2023-02-27,IAH,George Bush Intercontinental Airport,14828.38,608111,7,Digital Board,Frequent Flyers
2023-02-27,BOS,Logan International Airport,16524.23,734715,11,Concourse Wrap,Traveling Moms
2023-02-27,MSP,Minneapolis–Saint Paul International Airport,19469.49,1019805,7,Jet Bridge,General Travelers
2023-02-27,DTW,Detroit Metropolitan Airport,17246.59,1112686,3,Concourse Wrap,Traveling Moms
2023-02-27,PHL,Philadelphia International Airport,19436.61,893938,7,Jet Bridge,Family Leisure Travelers
2023-02-27,LGA,LaGuardia Airport,13571.79,543059,4,Digital Board,Traveling Moms
2023-02-27,BWI,Baltimore/Washington International Airport,17432.24,811965,10,Baggage Claim Display,General Travelers
2023-03-06,ATL,Hartsfield–Jackson Atlanta International Airport,17778.06,1072705,11,Baggage Claim Display,Family Leisure Travelers
2023-03-06,LAX,Los Angeles International Airport,22169.62,1143978,4,Concourse Wrap,Family Leisure Travelers
2023-03-06,ORD,Chicago O'Hare International Airport,19918.04,1033855,3,Concourse Wrap,General Travelers
2023-03-06,DFW,Dallas/Fort Worth International Airport,18355.86,927589,3,Baggage Claim Display,Family Leisure Travelers
2023-03-06,DEN,Denver International Airport,18549.9,989646,4,Jet Bridge,General Travelers
2023-03-06,JFK,John F. Kennedy International Airport,22375.52,1257933,10,Jet Bridge,Frequent Flyers
2023-03-06,SFO,San Francisco International Airport,20097.85,983272,4,Jet Bridge,General Travelers
2023-03-06,SEA,Seattle–Tacoma International Airport,14028.22,866865,5,Baggage Claim Display,Frequent Flyers
2023-03-06,LAS,Harry Reid International Airport,17199.27,787467,6,Concourse Wrap,General Travelers
2023-03-06,MCO,Orlando International Airport,19532.56,1181671,11,Concourse Wrap,Family Leisure Travelers
2023-03-06,CLT,Charlotte Douglas International Airport,25202.92,1378098,11,Baggage Claim Display,Traveling Moms
2023-03-06,MIA,Miami International Airport,23212.47,1384649,10,Baggage Claim Display,Traveling Moms
2023-03-06,PHX,Phoenix Sky Harbor International Airport,18134.47,879450,3,Digital Board,Frequent Flyers
2023-03-06,IAH,George Bush Intercontinental Airport,21041.5,1254555,7,Baggage Claim Display,General Travelers
2023-03-06,BOS,Logan International Airport,18223.71,1136227,11,Baggage Claim Display,Frequent Flyers
2023-03-06,MSP,Minneapolis–Saint Paul International Airport,14695.92,619266,8,Jet Bridge,General Travelers
2023-03-06,DTW,Detroit Metropolitan Airport,21178.9,1158743,6,Jet Bridge,Frequent Flyers
2023-03-06,PHL,Philadelphia International Airport,23319.74,952283,6,Concourse Wrap,Traveling Moms
2023-03-06,LGA,LaGuardia Airport,18095.23,759328,5,Concourse Wrap,General Travelers
2023-03-06,BWI,Baltimore/Washington International Airport,20357.06,1147982,7,Baggage Claim Display,Family Leisure Travelers
2023-03-13,ATL,Hartsfield–Jackson Atlanta International Airport,18864.79,1172195,7,Baggage Claim Display,Traveling Moms
2023-03-13,LAX,Los Angeles International Airport,13619.03,717229,7,Concourse Wrap,Family Leisure Travelers
2023-03-13,ORD,Chicago O'Hare International Airport,19072.72,945765,10,Concourse Wrap,General Travelers
2023-03-13,DFW,Dallas/Fort Worth International Airport,19773.98,1045382,8,Concourse Wrap,General Travelers
2023-03-13,DEN,Denver International Airport,25358.57,1316140,10,Jet Bridge,Traveling Moms
2023-03-13,JFK,John F. Kennedy International Airport,17457.62,942632,7,Digital Board,Traveling Moms
2023-03-13,SFO,San Francisco International Airport,15785.15,856405,10,Jet Bridge,General Travelers
2023-03-13,SEA,Seattle–Tacoma International Airport,23696.44,1474105,6,Baggage Claim Display,Traveling Moms
2023-03-13,LAS,Harry Reid International Airport,20511.79,1045098,5,Digital Board,Family Leisure Travelers
2023-03-13,MCO,Orlando International Airport,23813.68,1251093,6,Jet Bridge,Family Leisure Travelers
2023-03-13,CLT,Charlotte Douglas International Airport,19279.31,816043,7,Jet Bridge,Frequent Flyers
2023-03-13,MIA,Miami International Airport,16710.64,1049388,10,Digital Board,General Travelers
2023-03-13,PHX,Phoenix Sky Harbor International Airport,24018.37,1282036,4,Baggage Claim Display,Traveling Moms
2023-03-13,IAH,George Bush Intercontinental Airport,24840.15,1028481,3,Concourse Wrap,General Travelers
2023-03-13,BOS,Logan International Airport,20627.25,1145543,7,Concourse Wrap,Traveling Moms
2023-03-13,MSP,Minneapolis–Saint Paul International Airport,21525.95,1194935,5,Jet Bridge,Family Leisure Travelers
2023-03-13,DTW,Detroit Metropolitan Airport,17602.32,957679,11,Jet Bridge,Traveling Moms
2023-03-13,PHL,Philadelphia International Airport,20838.61,917790,5,Concourse Wrap,Traveling Moms
2023-03-13,LGA,LaGuardia Airport,19021.29,922446,3,Digital Board,Family Leisure Travelers
2023-03-13,BWI,Baltimore/Washington International Airport,24884.16,1242081,6,Baggage Claim Display,Family Leisure Travelers
2023-03-20,ATL,Hartsfield–Jackson Atlanta International Airport,20080.18,904896,6,Digital Board,Family Leisure Travelers
2023-03-20,LAX,Los Angeles International Airport,17036.79,752603,8,Jet Bridge,General Travelers
2023-03-20,ORD,Chicago O'Hare International Airport,19100.5,932040,5,Jet Bridge,Traveling Moms
2023-03-20,DFW,Dallas/Fort Worth International Airport,20679.08,1119610,5,Jet Bridge,Family Leisure Travelers
2023-03-20,DEN,Denver International Airport,25816.25,1571093,5,Concourse Wrap,Family Leisure Travelers
2023-03-20,JFK,John F. Kennedy International Airport,15535.33,684185,10,Concourse Wrap,Traveling Moms
2023-03-20,SFO,San Francisco International Airport,16538.51,1014951,5,Jet Bridge,Traveling Moms
2023-03-20,SEA,Seattle–Tacoma International Airport,16527.7,695472,8,Concourse Wrap,Traveling Moms
2023-03-20,LAS,Harry Reid International Airport,19406.28,833459,6,Jet Bridge,Frequent Flyers
2023-03-20,MCO,Orlando International Airport,15932.31,714245,6,Jet Bridge,Traveling Moms
2023-03-20,CLT,Charlotte Douglas International Airport,18063.17,726683,4,Concourse Wrap,Family Leisure Travelers
2023-03-20,MIA,Miami International Airport,21222.64,1053850,6,Jet Bridge,Frequent Flyers
2023-03-20,PHX,Phoenix Sky Harbor International Airport,22005.65,920994,5,Concourse Wrap,Family Leisure Travelers
2023-03-20,IAH,George Bush Intercontinental Airport,20067.05,900947,11,Baggage Claim Display,Family Leisure Travelers
2023-03-20,BOS,Logan International Airport,19686.72,864732,6,Concourse Wrap,Traveling Moms
2023-03-20,MSP,Minneapolis–Saint Paul International Airport,15816.61,721985,3,Concourse Wrap,Family Leisure Travelers
2023-03-20,DTW,Detroit Metropolitan Airport,21185.42,1212074,9,Baggage Claim Display,Traveling Moms
2023-03-20,PHL,Philadelphia International Airport,18271.43,815124,8,Digital Board,Traveling Moms
2023-03-20,LGA,LaGuardia Airport,17127.02,879240,11,Jet Bridge,General Travelers
2023-03-20,BWI,Baltimore/Washington International Airport,22952.31,1082272,11,Digital Board,Family Leisure Travelers
2023-03-27,ATL,Hartsfield–Jackson Atlanta International Airport,25123.96,1391252,7,Jet Bridge,Frequent Flyers
2023-03-27,LAX,Los Angeles International Airport,19943.34,1145793,10,Jet Bridge,Family Leisure Travelers
2023-03-27,ORD,Chicago O'Hare International Airport,19900.74,894774,10,Jet Bridge,General Travelers
2023-03-27,DFW,Dallas/Fort Worth International Airport,15884.26,741879,3,Digital Board,Frequent Flyers
2023-03-27,DEN,Denver International Airport,18263.83,1140155,9,Baggage Claim Display,General Travelers
2023-03-27,JFK,John F. Kennedy International Airport,13920.64,664394,10,Concourse Wrap,Frequent Flyers
2023-03-27,SFO,San Francisco International Airport,17728.86,950493,11,Jet Bridge,Frequent Flyers
2023-03-27,SEA,Seattle–Tacoma International Airport,14874.23,760351,4,Digital Board,Traveling Moms
2023-03-27,LAS,Harry Reid International Airport,21112.91,1124185,8,Jet Bridge,Traveling Moms
2023-03-27,MCO,Orlando International Airport,25331.82,1401278,5,Concourse Wrap,Family Leisure Travelers
2023-03-27,CLT,Charlotte Douglas International Airport,23971.2,1109517,3,Digital Board,General Travelers
2023-03-27,MIA,Miami International Airport,23564.39,1508417,10,Baggage Claim Display,Traveling Moms
2023-03-27,PHX,Phoenix Sky Harbor International Airport,16679.61,825993,5,Concourse Wrap,Frequent Flyers
2023-03-27,IAH,George Bush Intercontinental Airport,21476.33,1330211,7,Jet Bridge,Traveling Moms
2023-03-27,BOS,Logan International Airport,25679.27,1078943,11,Concourse Wrap,Frequent Flyers
2023-03-27,MSP,Minneapolis–Saint Paul International Airport,18479.35,758930,8,Concourse Wrap,Traveling Moms
2023-03-27,DTW,Detroit Metropolitan Airport,16005.13,974310,10,Jet Bridge,Traveling Moms
2023-03-27,PHL,Philadelphia International Airport,18519.09,894440,11,Digital Board,Frequent Flyers
2023-03-27,LGA,LaGuardia Airport,20515.6,885762,10,Baggage Claim Display,Traveling Moms
2023-03-27,BWI,Baltimore/Washington International Airport,18015.11,828529,6,Digital Board,Frequent Flyers
2023-04-03,ATL,Hartsfield–Jackson Atlanta International Airport,17172.27,1037985,4,Concourse Wrap,Frequent Flyers
2023-04-03,LAX,Los Angeles International Airport,16858.39,844235,6,Baggage Claim Display,General Travelers
2023-04-03,ORD,Chicago O'Hare International Airport,21754.37,1023300,11,Digital Board,General Travelers
2023-04-03,DFW,Dallas/Fort Worth International Airport,16295.03,803751,8,Digital Board,Family Leisure Travelers
2023-04-03,DEN,Denver International Airport,21727.54,958017,7,Jet Bridge,Family Leisure Travelers
2023-04-03,JFK,John F. Kennedy International Airport,20366.58,918137,8,Concourse Wrap,Frequent Flyers
2023-04-03,SFO,San Francisco International Airport,25656.55,1242787,9,Digital Board,General Travelers
2023-04-03,SEA,Seattle–Tacoma International Airport,18134.8,1139497,8,Concourse Wrap,Frequent Flyers
2023-04-03,LAS,Harry Reid International Airport,16981.94,889005,4,Concourse Wrap,Family Leisure Travelers
2023-04-03,MCO,Orlando International Airport,21324.85,1153040,11,Jet Bridge,Family Leisure Travelers
2023-04-03,CLT,Charlotte Douglas International Airport,21248.77,1354360,5,Baggage Claim Display,Family Leisure Travelers
2023-04-03,MIA,Miami International Airport,18851.04,852796,11,Concourse Wrap,Frequent Flyers
2023-04-03,PHX,Phoenix Sky Harbor International Airport,25195.46,1344781,9,Digital Board,Traveling Moms
2023-04-03,IAH,George Bush Intercontinental Airport,21163.18,1217543,7,Concourse Wrap,Traveling Moms
2023-04-03,BOS,Logan International Airport,18367.53,1026497,10,Concourse Wrap,Frequent Flyers
