date,post_id,caption,followers,impressions,video_views,video_completes,likes,comments,shares,clicks,saves
2024-03-10,tt_post_83,Holiday sparkle from S'Belles.,7050,2050,1612,1128,160,8,6,43,91
2024-03-11,tt_post_84,Holiday sparkle from S'Belles.,6963,1419,1176,855,118,9,7,44,63
2024-03-12,tt_post_85,Karen LeSac's favorite fall dress for girls.,7388,1224,994,713,82,4,3,26,16
2024-03-13,tt_post_86,Matching mom & daughter outfits from S'Belles.,6900,1422,1217,504,105,15,7,52,62
2024-03-17,tt_post_87,Holiday sparkle from S'Belles.,7356,1409,1075,636,106,13,7,32,23
2024-03-19,tt_post_88,Holiday sparkle from S'Belles.,7227,1423,846,478,58,7,4,32,34
2024-03-19,tt_post_89,Suburban carpool ready styles.,7323,1645,1228,741,87,8,7,28,44
2024-03-20,tt_post_90,Karen LeSac's favorite fall dress for girls.,7173,1885,1532,1158,106,14,5,52,53
2024-03-22,tt_post_91,Holiday sparkle from S'Belles.,7207,1920,1272,898,173,21,6,63,44
2024-03-22,tt_post_92,Back-to-school looks for your mini.,6954,1133,921,641,62,5,3,28,20
2024-03-23,tt_post_93,Karen LeSac's favorite fall dress for girls.,7265,1300,907,564,45,4,3,43,26
2024-03-23,tt_post_94,Matching mom & daughter outfits from S'Belles.,7008,1644,1416,1040,147,7,8,52,48
2024-03-23,tt_post_95,Matching mom & daughter outfits from S'Belles.,7420,1594,893,701,101,10,7,31,43
2024-03-24,tt_post_96,Karen LeSac's favorite fall dress for girls.,7222,2301,1908,1136,172,21,9,37,67
2024-03-25,tt_post_97,Holiday sparkle from S'Belles.,7151,1514,1266,509,151,8,7,37,73
2024-03-26,tt_post_98,Karen LeSac's favorite fall dress for girls.,7466,1368,692,360,95,9,5,19,38
2024-03-26,tt_post_99,Suburban carpool ready styles.,7252,1317,866,555,108,15,10,24,35
2024-03-26,tt_post_100,Matching mom & daughter outfits from S'Belles.,7167,1425,730,358,67,3,2,26,22
2024-03-27,tt_post_101,Karen LeSac's favorite fall dress for girls.,7079,1081,833,441,56,4,3,29,31
2024-03-28,tt_post_102,Matching mom & daughter outfits from S'Belles.,7070,1879,1036,699,142,13,6,31,63
2024-03-29,tt_post_103,Matching mom & daughter outfits from S'Belles.,7559,1675,844,509,86,9,7,25,50
2024-03-31,tt_post_104,Matching mom & daughter outfits from S'Belles.,7511,2063,1293,586,146,11,8,68,62
2024-04-01,tt_post_105,Suburban carpool ready styles.,7016,1489,1084,785,99,5,6,52,31
2024-04-02,tt_post_106,Karen LeSac's favorite fall dress for girls.,7011,1745,1314,887,160,22,8,25,52
2024-04-04,tt_post_107,Back-to-school looks for your mini.,7378,1678,940,410,53,7,2,45,24
2024-04-05,tt_post_108,Holiday sparkle from S'Belles.,7491,1217,815,484,73,4,4,22,43
2024-04-06,tt_post_109,Matching mom & daughter outfits from S'Belles.,7093,1815,1153,883,126,15,11,44,44
2024-04-06,tt_post_110,Karen LeSac's favorite fall dress for girls.,7368,1665,1408,996,109,7,3,35,52
2024-04-06,tt_post_111,Karen LeSac's favorite fall dress for girls.,7075,1765,1201,783,79,8,2,67,41
2024-04-07,tt_post_112,Karen LeSac's favorite fall dress for girls.,7382,1814,1445,709,186,16,15,70,82
2024-04-09,tt_post_113,Back-to-school looks for your mini.,7102,1914,1266,902,105,11,4,45,35
2024-04-09,tt_post_114,Holiday sparkle from S'Belles.,7145,1938,1744,797,208,28,17,56,97
2024-04-09,tt_post_115,Karen LeSac's favorite fall dress for girls.,7522,1385,801,508,75,5,2,33,35
2024-04-10,tt_post_116,Suburban carpool ready styles.,7570,1053,793,321,70,3,5,15,26
2024-04-11,tt_post_117,Holiday sparkle from S'Belles.,7595,1609,1435,1007,158,14,7,58,78
2024-04-12,tt_post_118,Suburban carpool ready styles.,7163,1059,592,388,41,4,2,29,20
2024-04-14,tt_post_119,Holiday sparkle from S'Belles.,7270,2128,1497,1008,119,8,9,27,29
2024-04-14,tt_post_120,Matching mom & daughter outfits from S'Belles.,7510,1658,1136,715,79,10,5,33,40
2024-04-14,tt_post_121,Suburban carpool ready styles.,7338,1844,1649,1043,240,15,18,43,68
2024-04-15,tt_post_122,Matching mom & daughter outfits from S'Belles.,7412,1285,1087,545,139,10,13,38,76
2024-04-15,tt_post_123,Back-to-school looks for your mini.,7627,1730,1540,713,108,9,10,38,31
2024-04-15,tt_post_124,Back-to-school looks for your mini.,7341,1166,718,429,45,5,1,15,12
2024-04-16,tt_post_125,Karen LeSac's favorite fall dress for girls.,7240,1139,736,409,84,6,8,28,19
2024-04-17,tt_post_126,Back-to-school looks for your mini.,7269,1601,1078,801,150,19,4,19,73
2024-04-18,tt_post_127,Matching mom & daughter outfits from S'Belles.,7483,1288,1004,684,133,7,9,46,46
2024-04-19,tt_post_128,Suburban carpool ready styles.,7460,1062,628,318,63,7,3,16,21
2024-04-20,tt_post_129,Matching mom & daughter outfits from S'Belles.,7291,2205,1490,1047,108,8,8,35,52
2024-04-21,tt_post_130,Holiday sparkle from S'Belles.,7481,1495,808,410,47,6,2,15,9
2024-04-21,tt_post_131,Holiday sparkle from S'Belles.,7342,1383,749,534,98,5,6,48,23
2024-04-21,tt_post_132,Holiday sparkle from S'Belles.,7543,1973,1193,647,86,4,5,34,49
2024-04-22,tt_post_133,Matching mom & daughter outfits from S'Belles.,7302,1247,917,598,87,11,3,40,17
2024-04-25,tt_post_134,Suburban carpool ready styles.,7412,1928,1024,729,145,7,9,54,41
2024-04-26,tt_post_135,Holiday sparkle from S'Belles.,7688,1579,1018,621,145,10,11,28,30
2024-04-27,tt_post_136,Holiday sparkle from S'Belles.,7690,2022,1576,662,170,13,14,27,44
2024-04-28,tt_post_137,Back-to-school looks for your mini.,7503,1870,1553,1114,225,12,16,29,64
2024-04-29,tt_post_138,Suburban carpool ready styles.,7399,1646,825,451,92,13,5,38,54
2024-05-01,tt_post_139,Matching mom & daughter outfits from S'Belles.,7643,1833,1546,1126,231,18,20,70,67
2024-05-02,tt_post_140,Holiday sparkle from S'Belles.,7479,1933,1110,812,62,4,5,69,36
2024-05-02,tt_post_141,Matching mom & daughter outfits from S'Belles.,7287,1260,982,506,88,12,2,44,32
2024-05-02,tt_post_142,Suburban carpool ready styles.,7286,1590,1075,542,129,17,5,27,62
2024-05-03,tt_post_143,Holiday sparkle from S'Belles.,7504,1835,1120,803,119,15,7,31,67
2024-05-04,tt_post_144,Matching mom & daughter outfits from S'Belles.,7240,1718,956,396,49,2,4,44,23
2024-05-04,tt_post_145,Holiday sparkle from S'Belles.,7580,2003,1009,776,84,11,2,69,27
2024-05-04,tt_post_146,Holiday sparkle from S'Belles.,7488,1854,1003,473,148,15,14,43,30
2024-05-05,tt_post_147,Matching mom & daughter outfits from S'Belles.,7484,1613,1365,1064,203,21,18,33,82
2024-05-05,tt_post_148,Matching mom & daughter outfits from S'Belles.,7645,1677,1084,664,79,6,4,30,37
2024-05-06,tt_post_149,Back-to-school looks for your mini.,7691,1284,904,388,105,8,9,21,34
2024-05-08,tt_post_150,Holiday sparkle from S'Belles.,7733,1476,1012,742,132,15,5,55,30
2024-05-09,tt_post_151,Matching mom & daughter outfits from S'Belles.,7751,1468,1016,809,125,15,8,32,73
2024-05-10,tt_post_152,Matching mom & daughter outfits from S'Belles.,7491,1193,706,541,104,15,3,43,49
2024-05-10,tt_post_153,Back-to-school looks for your mini.,7330,1149,607,467,31,3,2,42,12
2024-05-11,tt_post_154,Suburban carpool ready styles.,7771,1499,1333,778,155,20,8,46,52
2024-05-12,tt_post_155,Back-to-school looks for your mini.,7581,1899,1564,920,133,16,7,61,28
2024-05-13,tt_post_156,Suburban carpool ready styles.,7529,1710,1280,826,96,14,3,20,28
2024-05-15,tt_post_157,Matching mom & daughter outfits from S'Belles.,7733,1647,1312,1000,192,11,18,35,104
2024-05-16,tt_post_158,Holiday sparkle from S'Belles.,7640,1732,986,523,131,10,11,51,40
2024-05-18,tt_post_159,Suburban carpool ready styles.,7430,1362,1215,844,126,17,9,26,64
2024-05-19,tt_post_160,Suburban carpool ready styles.,7388,1507,774,435,99,13,4,21,36
2024-05-20,tt_post_161,Karen LeSac's favorite fall dress for girls.,7809,1203,881,466,48,3,2,20,14
2024-05-22,tt_post_162,Matching mom & daughter outfits from S'Belles.,7669,1237,909,467,52,2,4,46,18
2024-05-24,tt_post_163,Back-to-school looks for your mini.,7336,1169,784,358,114,13,3,26,31
2024-05-26,tt_post_164,Back-to-school looks for your mini.,7537,2059,1579,1064,169,9,8,27,82
2024-05-28,tt_post_165,Suburban carpool ready styles.,7691,1920,1595,879,89,6,3,42,47
2024-05-29,tt_post_166,Karen LeSac's favorite fall dress for girls.,7370,1876,1430,1030,94,5,8,36,32
2024-05-31,tt_post_167,Matching mom & daughter outfits from S'Belles.,7339,1726,1227,656,74,5,3,39,15
2024-06-02,tt_post_168,Karen LeSac's favorite fall dress for girls.,7567,2194,1215,504,112,11,6,33,64
2024-06-02,tt_post_169,Back-to-school looks for your mini.,7312,1604,927,673,134,15,7,59,68
2024-06-03,tt_post_170,Karen LeSac's favorite fall dress for girls.,7329,1419,949,437,92,7,8,40,19
2024-06-03,tt_post_171,Karen LeSac's favorite fall dress for girls.,7369,1137,695,321,70,8,2,33,31
2024-06-03,tt_post_172,Holiday sparkle from S'Belles.,7453,1432,1039,470,120,8,9,39,31
2024-06-04,tt_post_173,Matching mom & daughter outfits from S'Belles.,7356,1737,1326,694,91,10,6,27,43
2024-06-04,tt_post_174,Back-to-school looks for your mini.,7328,1333,1169,898,148,13,11,40,32
2024-06-06,tt_post_175,Karen LeSac's favorite fall dress for girls.,7716,1476,930,553,76,9,6,39,16
2024-06-07,tt_post_176,Suburban carpool ready styles.,7824,1475,881,394,106,13,7,34,25
2024-06-08,tt_post_177,Back-to-school looks for your mini.,7585,1646,1210,707,64,3,6,50,33
2024-06-09,tt_post_178,Karen LeSac's favorite fall dress for girls.,7598,1959,1150,468,85,4,3,38,31
2024-06-09,tt_post_179,Suburban carpool ready styles.,7754,2250,1675,888,101,11,7,84,34
2024-06-10,tt_post_180,Karen LeSac's favorite fall dress for girls.,7514,1376,900,385,117,7,6,37,42
2024-06-11,tt_post_181,Matching mom & daughter outfits from S'Belles.,7630,1731,1423,1100,149,12,9,66,47
2024-06-12,tt_post_182,Suburban carpool ready styles.,7767,1741,993,402,78,11,2,32,32
2024-06-12,tt_post_183,Karen LeSac's favorite fall dress for girls.,7491,1391,763,337,72,9,5,44,34
2024-06-12,tt_post_184,Karen LeSac's favorite fall dress for girls.,7413,1392,708,352,47,5,2,19,14
2024-06-13,tt_post_185,Holiday sparkle from S'Belles.,7662,1635,1181,829,131,13,11,63,37
2024-06-14,tt_post_186,Matching mom & daughter outfits from S'Belles.,7926,1724,1100,612,116,8,5,37,29
2024-06-15,tt_post_187,Back-to-school looks for your mini.,7721,2251,1160,709,114,16,9,35,33
2024-06-15,tt_post_188,Back-to-school looks for your mini.,7537,2146,1418,1058,146,11,8,75,51
2024-06-16,tt_post_189,Suburban carpool ready styles.,7679,1377,909,572,101,8,7,29,27
2024-06-17,tt_post_190,Suburban carpool ready styles.,7366,1810,1372,1084,111,8,10,64,51
2024-06-18,tt_post_191,Matching mom & daughter outfits from S'Belles.,7747,1425,719,494,107,13,5,30,45
2024-06-18,tt_post_192,Matching mom & daughter outfits from S'Belles.,7773,1116,891,450,86,11,7,17,20
2024-06-19,tt_post_193,Holiday sparkle from S'Belles.,7638,1339,991,568,105,6,4,49,22
2024-06-19,tt_post_194,Karen LeSac's favorite fall dress for girls.,7965,1942,1337,603,198,24,10,53,117
2024-06-21,tt_post_195,Suburban carpool ready styles.,7736,1772,1323,761,77,6,3,64,45
2024-06-22,tt_post_196,Holiday sparkle from S'Belles.,7405,2176,1135,542,57,3,4,80,32
2024-06-23,tt_post_197,Matching mom & daughter outfits from S'Belles.,7590,1579,1066,454,149,9,5,41,72
2024-06-23,tt_post_198,Karen LeSac's favorite fall dress for girls.,7967,1308,966,649,138,11,12,45,68
2024-06-24,tt_post_199,Suburban carpool ready styles.,7563,1212,642,488,83,4,7,44,43
2024-06-24,tt_post_200,Karen LeSac's favorite fall dress for girls.,7911,1597,1313,1011,140,12,5,20,52
2024-06-25,tt_post_201,Suburban carpool ready styles.,7798,1531,824,361,50,3,3,50,27
2024-06-26,tt_post_202,Karen LeSac's favorite fall dress for girls.,7710,1680,1426,843,166,19,15,37,70
2024-06-27,tt_post_203,Holiday sparkle from S'Belles.,7980,1099,987,770,68,7,5,11,19
2024-06-28,tt_post_204,Back-to-school looks for your mini.,7843,1261,1089,819,126,17,11,39,51
2024-06-28,tt_post_205,Matching mom & daughter outfits from S'Belles.,7652,1245,698,448,73,6,3,34,41
2024-06-29,tt_post_206,Matching mom & daughter outfits from S'Belles.,7995,1472,1015,505,141,15,8,57,83
2024-06-29,tt_post_207,Back-to-school looks for your mini.,7971,1548,1126,562,56,5,2,31,11
2024-06-29,tt_post_208,Karen LeSac's favorite fall dress for girls.,7632,2325,1783,1024,102,10,9,60,21
2024-06-30,tt_post_209,Matching mom & daughter outfits from S'Belles.,7577,2190,1784,1100,220,28,20,83,59
