date,channel,campaign_name,campaign_id,dma_name,state,spend,impressions,clicks,views,video_25pct,video_50pct,video_75pct,video_completes,age_target,audience_segment
2023-10-25,TikTok,TikTok Always On,TI_1103,"Augusta, GA",GA,378.48,25177,556,12798,8011,5287,4379,2646,25-34,Suburban Moms
2023-04-10,TikTok,TikTok Always On,TI_1103,"Macon, GA",GA,306.42,21268,605,7550,6068,5030,3665,3304,35-44,Teen Daughters
2023-08-01,TikTok,TikTok Teen Trends,TI_4212,"Savannah, GA",GA,470.56,20648,295,10894,7010,4753,3143,2277,35-44,Moms & Daughters
2023-04-12,TikTok,TikTok Always On,TI_1103,"Savannah, GA",GA,97.51,4214,53,2165,1344,1006,746,528,13-17,Suburban Moms
2023-12-17,TikTok,TikTok Teen Trends,TI_4212,"Macon, GA",GA,288.28,14475,544,4456,3383,2369,1667,1144,35-44,Teen Daughters
2023-07-03,TikTok,TikTok Teen Trends,TI_4212,"Atlanta, GA",GA,397.89,26643,979,8877,7449,5467,3811,3272,35-44,Moms & Daughters
2024-06-07,TikTok,TikTok BTS Moms,TI_3966,"Augusta, GA",GA,76.34,3429,55,1820,1433,1175,835,534,18-24,Moms & Daughters
2023-09-30,TikTok,TikTok Teen Trends,TI_4212,"Augusta, GA",GA,157.96,6938,236,3661,2311,1849,1447,1229,25-34,Suburban Moms
2023-09-09,TikTok,TikTok Always On,TI_1103,"Augusta, GA",GA,535.93,31652,766,14105,11576,9076,5663,3527,25-34,Moms & Daughters
2024-03-17,TikTok,TikTok Always On,TI_1103,"Augusta, GA",GA,135.92,8677,99,4913,3872,2925,1977,1443,13-17,Moms & Daughters
2023-01-08,TikTok,TikTok BTS Moms,TI_3966,"Savannah, GA",GA,335.27,20507,774,7263,5595,4893,2985,2519,25-34,Teen Daughters
2023-04-27,TikTok,TikTok Always On,TI_1103,"Columbus, GA",GA,215.81,12820,501,5171,3645,2780,1987,1193,35-44,Moms & Daughters
2024-01-20,TikTok,TikTok Always On,TI_1103,"Columbus, GA",GA,241.98,14528,312,6184,4634,3835,2321,1755,35-44,Teen Daughters
2023-04-01,TikTok,TikTok Teen Trends,TI_4212,"Atlanta, GA",GA,168.11,7776,256,4544,3703,3201,2533,1863,18-24,Teen Daughters
2023-11-06,TikTok,TikTok BTS Moms,TI_3966,"Columbus, GA",GA,183.72,8207,298,3863,3185,1954,1227,1002,35-44,Moms & Daughters
2023-11-01,TikTok,TikTok Always On,TI_1103,"Atlanta, GA",GA,138.55,7212,264,4014,3082,2670,2247,1566,13-17,Teen Daughters
2023-09-03,TikTok,TikTok Teen Trends,TI_4212,"Macon, GA",GA,286.97,14899,315,6307,5127,3453,2091,1612,18-24,Suburban Moms
2023-05-12,TikTok,TikTok Always On,TI_1103,"Augusta, GA",GA,159.47,9393,195,3114,2169,1411,1245,886,18-24,Teen Daughters
2023-01-23,TikTok,TikTok BTS Moms,TI_3966,"Augusta, GA",GA,108.74,6975,241,4044,3086,2037,1599,1375,35-44,Teen Daughters
2023-07-04,TikTok,TikTok Teen Trends,TI_4212,"Savannah, GA",GA,90.09,4445,149,1400,922,611,548,438,13-17,Suburban Moms
2023-12-11,TikTok,TikTok Always On,TI_1103,"Columbus, GA",GA,97.77,4882,65,2139,1434,1269,898,718,13-17,Suburban Moms
2024-03-11,TikTok,TikTok Always On,TI_1103,"Augusta, GA",GA,566.71,35514,873,10995,9176,6703,5539,4788,35-44,Moms & Daughters
2023-08-27,TikTok,TikTok Teen Trends,TI_4212,"Savannah, GA",GA,288.3,15323,232,5013,4076,2917,2548,2010,35-44,Teen Daughters
2024-06-03,TikTok,TikTok Teen Trends,TI_4212,"Augusta, GA",GA,304.54,16367,610,6466,5183,4406,3075,2027,18-24,Teen Daughters
2023-07-31,TikTok,TikTok Always On,TI_1103,"Macon, GA",GA,428.76,24602,732,13698,11226,7446,5510,5196,18-24,Moms & Daughters
2023-07-26,TikTok,TikTok Always On,TI_1103,"Atlanta, GA",GA,469.13,23941,602,11640,10104,6645,4160,3409,25-34,Teen Daughters
2024-05-03,TikTok,TikTok BTS Moms,TI_3966,"Columbus, GA",GA,119.89,7575,244,4222,2649,2166,1451,1013,25-34,Teen Daughters
2023-07-07,TikTok,TikTok Teen Trends,TI_4212,"Savannah, GA",GA,214.53,10767,232,5866,3911,2486,1865,1540,35-44,Moms & Daughters
2023-02-18,TikTok,TikTok Teen Trends,TI_4212,"Savannah, GA",GA,492.08,22208,297,10461,8981,6674,5995,5022,25-34,Teen Daughters
2023-02-21,TikTok,TikTok BTS Moms,TI_3966,"Atlanta, GA",GA,207.09,10830,264,3477,2376,1656,1463,1022,18-24,Teen Daughters
2023-10-25,TikTok,TikTok Teen Trends,TI_4212,"Augusta, GA",GA,298.49,15469,458,6802,5290,3238,2390,1899,35-44,Teen Daughters
2023-09-29,TikTok,TikTok Teen Trends,TI_4212,"Macon, GA",GA,63.43,2577,58,1145,969,701,479,364,13-17,Suburban Moms
2023-11-05,TikTok,TikTok BTS Moms,TI_3966,"Augusta, GA",GA,443.36,25482,272,14288,10075,7304,4948,4487,25-34,Moms & Daughters
2023-01-21,TikTok,TikTok Teen Trends,TI_4212,"Augusta, GA",GA,266.77,18277,501,7877,6097,4603,3809,2662,13-17,Suburban Moms
2023-03-27,TikTok,TikTok BTS Moms,TI_3966,"Savannah, GA",GA,101.68,4265,167,2151,1559,1263,1044,911,18-24,Teen Daughters
2023-01-24,TikTok,TikTok BTS Moms,TI_3966,"Savannah, GA",GA,63.76,3345,76,1546,1250,1013,659,510,35-44,Moms & Daughters
2023-09-20,TikTok,TikTok BTS Moms,TI_3966,"Macon, GA",GA,149.42,7527,241,3746,3122,1942,1503,1392,13-17,Suburban Moms
2024-03-03,TikTok,TikTok BTS Moms,TI_3966,"Atlanta, GA",GA,177.18,8506,121,3597,3217,1940,1457,1215,35-44,Suburban Moms
2023-08-19,TikTok,TikTok Always On,TI_1103,"Columbus, GA",GA,340.28,22249,825,8161,5041,3161,2144,1857,25-34,Moms & Daughters
2024-05-11,TikTok,TikTok Teen Trends,TI_4212,"Columbus, GA",GA,435.52,22222,443,8691,7224,5901,3618,2282,18-24,Teen Daughters
2023-04-30,TikTok,TikTok BTS Moms,TI_3966,"Augusta, GA",GA,146.14,7024,121,2733,2113,1613,1205,1025,13-17,Teen Daughters
2023-12-04,TikTok,TikTok BTS Moms,TI_3966,"Atlanta, GA",GA,1197.62,68682,1326,31081,25576,19152,11899,9346,18-24,Teen Daughters
2023-09-15,TikTok,TikTok Teen Trends,TI_4212,"Augusta, GA",GA,35.76,2483,27,1126,708,456,357,243,13-17,Moms & Daughters
2024-01-22,TikTok,TikTok BTS Moms,TI_3966,"Macon, GA",GA,406.86,26715,396,12718,11121,6812,5710,3918,25-34,Moms & Daughters
2023-05-17,TikTok,TikTok Teen Trends,TI_4212,"Columbus, GA",GA,117.38,6895,172,2862,2180,1556,1101,839,25-34,Suburban Moms
2023-08-08,TikTok,TikTok Always On,TI_1103,"Columbus, GA",GA,82.33,3470,134,1476,1024,913,804,663,18-24,Moms & Daughters
2023-11-21,TikTok,TikTok BTS Moms,TI_3966,"Augusta, GA",GA,104.31,7165,192,3448,2878,1796,1462,961,13-17,Teen Daughters
2023-01-05,TikTok,TikTok Always On,TI_1103,"Macon, GA",GA,145.67,6642,123,2338,2031,1267,959,713,13-17,Teen Daughters
2023-09-03,TikTok,TikTok Teen Trends,TI_4212,"Augusta, GA",GA,326.64,17354,286,6096,5018,3876,2796,2159,13-17,Moms & Daughters
2023-07-03,TikTok,TikTok Always On,TI_1103,"Columbus, GA",GA,872.88,52886,1301,28415,23999,16059,9868,8349,13-17,Moms & Daughters
2023-10-07,TikTok,TikTok Teen Trends,TI_4212,"Macon, GA",GA,321.16,22245,224,8729,7673,5309,3543,3031,35-44,Suburban Moms
2024-04-05,TikTok,TikTok Teen Trends,TI_4212,"Atlanta, GA",GA,87.77,3586,48,1479,1100,688,583,542,35-44,Teen Daughters
2024-02-04,TikTok,TikTok Always On,TI_1103,"Augusta, GA",GA,110.84,5347,102,1745,1174,802,495,316,35-44,Teen Daughters
2023-10-11,TikTok,TikTok BTS Moms,TI_3966,"Savannah, GA",GA,246.96,13354,155,4186,2709,2418,1739,1556,35-44,Moms & Daughters
2024-05-10,TikTok,TikTok Teen Trends,TI_4212,"Columbus, GA",GA,533.04,21691,528,10584,7234,4521,3434,2596,35-44,Teen Daughters
2023-11-08,TikTok,TikTok BTS Moms,TI_3966,"Columbus, GA",GA,168.0,11485,207,3946,2942,2586,1929,1430,18-24,Moms & Daughters
2023-03-26,TikTok,TikTok BTS Moms,TI_3966,"Atlanta, GA",GA,146.47,8027,218,3779,2732,1796,1479,953,18-24,Suburban Moms
2023-04-22,TikTok,TikTok Teen Trends,TI_4212,"Atlanta, GA",GA,504.01,33677,1068,14802,9265,5717,4072,3104,18-24,Suburban Moms
2024-06-04,TikTok,TikTok Always On,TI_1103,"Macon, GA",GA,165.55,6963,219,2424,1747,1280,923,662,25-34,Teen Daughters
2023-10-06,TikTok,TikTok Always On,TI_1103,"Columbus, GA",GA,199.1,13213,255,5495,3936,3228,2267,1477,13-17,Suburban Moms
2023-10-19,TikTok,TikTok BTS Moms,TI_3966,"Macon, GA",GA,216.41,9285,193,3608,3081,2324,1845,1190,35-44,Suburban Moms
2024-04-25,TikTok,TikTok Teen Trends,TI_4212,"Augusta, GA",GA,227.21,12090,439,6588,5682,3475,2765,2207,18-24,Moms & Daughters
2023-05-25,TikTok,TikTok Teen Trends,TI_4212,"Augusta, GA",GA,214.34,10932,198,4769,4016,2959,2527,2390,25-34,Moms & Daughters
2024-06-05,TikTok,TikTok Always On,TI_1103,"Macon, GA",GA,124.27,7492,209,2482,2191,1411,872,616,18-24,Moms & Daughters
2023-06-18,TikTok,TikTok Teen Trends,TI_4212,"Columbus, GA",GA,175.43,9705,164,4084,2907,2605,2230,1640,25-34,Teen Daughters
2023-04-24,TikTok,TikTok BTS Moms,TI_3966,"Atlanta, GA",GA,89.61,5320,122,1995,1397,981,870,765,25-34,Suburban Moms
2023-03-15,TikTok,TikTok BTS Moms,TI_3966,"Atlanta, GA",GA,305.49,13468,389,5257,3183,2758,1842,1704,13-17,Teen Daughters
2024-02-17,TikTok,TikTok Always On,TI_1103,"Columbus, GA",GA,322.8,21131,443,8189,6302,4295,2764,2580,13-17,Teen Daughters
2024-02-06,TikTok,TikTok Teen Trends,TI_4212,"Macon, GA",GA,351.62,22183,742,8993,5624,5038,3994,3387,25-34,Moms & Daughters
2023-09-21,TikTok,TikTok BTS Moms,TI_3966,"Atlanta, GA",GA,195.75,8042,136,4112,3420,2636,1795,1331,18-24,Moms & Daughters
2023-04-19,TikTok,TikTok Teen Trends,TI_4212,"Macon, GA",GA,111.79,6867,135,2656,2010,1253,796,526,35-44,Suburban Moms
2024-04-08,TikTok,TikTok Teen Trends,TI_4212,"Columbus, GA",GA,377.54,22955,606,8889,6095,3790,2883,2184,35-44,Suburban Moms
2023-05-06,TikTok,TikTok BTS Moms,TI_3966,"Augusta, GA",GA,262.05,14456,445,5086,4352,2794,2012,1260,25-34,Suburban Moms
2023-10-23,TikTok,TikTok Always On,TI_1103,"Atlanta, GA",GA,208.1,13906,143,6897,5488,3922,2611,1785,13-17,Teen Daughters
2024-01-04,TikTok,TikTok BTS Moms,TI_3966,"Atlanta, GA",GA,41.27,1992,46,1012,725,450,288,232,18-24,Suburban Moms
2023-04-18,TikTok,TikTok Teen Trends,TI_4212,"Augusta, GA",GA,158.92,8759,140,2805,1827,1635,1210,1093,18-24,Suburban Moms
2023-03-07,TikTok,TikTok BTS Moms,TI_3966,"Savannah, GA",GA,522.02,23001,431,7898,6660,4440,3619,3366,18-24,Moms & Daughters
2023-04-05,TikTok,TikTok BTS Moms,TI_3966,"Savannah, GA",GA,210.09,11829,153,4680,2879,2069,1358,1081,18-24,Suburban Moms
2024-05-30,TikTok,TikTok BTS Moms,TI_3966,"Atlanta, GA",GA,219.13,13975,244,5263,3601,2966,2601,2386,25-34,Teen Daughters
2024-01-20,TikTok,TikTok BTS Moms,TI_3966,"Augusta, GA",GA,159.22,7908,112,4603,3472,2855,2307,1614,18-24,Teen Daughters
2023-02-26,TikTok,TikTok Always On,TI_1103,"Augusta, GA",GA,279.05,15282,556,6477,4930,3030,1820,1247,13-17,Suburban Moms
2023-09-22,TikTok,TikTok Always On,TI_1103,"Augusta, GA",GA,524.42,35008,1019,13205,11025,7285,6480,3901,18-24,Moms & Daughters
2023-09-14,TikTok,TikTok BTS Moms,TI_3966,"Columbus, GA",GA,1024.74,63920,1180,30691,19716,12521,9911,8898,13-17,Suburban Moms
2023-06-01,TikTok,TikTok BTS Moms,TI_3966,"Augusta, GA",GA,262.22,13152,444,4782,3928,3474,2098,1582,25-34,Suburban Moms
2023-06-09,TikTok,TikTok Teen Trends,TI_4212,"Augusta, GA",GA,384.99,15730,600,4923,3861,3119,1971,1215,35-44,Suburban Moms
2024-04-17,TikTok,TikTok Teen Trends,TI_4212,"Atlanta, GA",GA,349.96,16511,440,7267,5389,3424,2501,2171,35-44,Teen Daughters
2023-05-03,TikTok,TikTok BTS Moms,TI_3966,"Atlanta, GA",GA,39.05,2159,55,787,641,400,308,246,35-44,Suburban Moms
2023-07-28,TikTok,TikTok Always On,TI_1103,"Augusta, GA",GA,128.42,7500,155,2514,1843,1512,1343,981,13-17,Moms & Daughters
2023-01-04,TikTok,TikTok Always On,TI_1103,"Atlanta, GA",GA,159.54,6770,84,4034,2873,2043,1723,1605,25-34,Moms & Daughters
2023-10-16,TikTok,TikTok Always On,TI_1103,"Savannah, GA",GA,81.1,5356,85,2908,2106,1375,1139,987,18-24,Teen Daughters
2023-10-26,TikTok,TikTok BTS Moms,TI_3966,"Columbus, GA",GA,163.37,6744,102,3338,2163,1610,1303,922,25-34,Teen Daughters
2023-04-01,TikTok,TikTok BTS Moms,TI_3966,"Atlanta, GA",GA,388.99,15966,419,6647,4189,3521,3079,2662,13-17,Teen Daughters
2024-05-25,TikTok,TikTok Teen Trends,TI_4212,"Savannah, GA",GA,161.64,7854,131,4529,3049,1883,1554,1064,18-24,Suburban Moms
2023-11-04,TikTok,TikTok Always On,TI_1103,"Atlanta, GA",GA,678.13,44655,938,18885,14568,9626,6911,5806,18-24,Teen Daughters
2023-01-30,TikTok,TikTok Always On,TI_1103,"Macon, GA",GA,60.33,3994,159,1896,1599,1116,771,571,35-44,Suburban Moms
2023-05-30,TikTok,TikTok Teen Trends,TI_4212,"Columbus, GA",GA,101.29,7068,226,2155,1613,1265,1020,868,35-44,Teen Daughters
2023-04-27,TikTok,TikTok BTS Moms,TI_3966,"Savannah, GA",GA,158.11,9737,179,5008,3838,2428,2135,1618,13-17,Suburban Moms
2023-02-26,TikTok,TikTok Teen Trends,TI_4212,"Savannah, GA",GA,163.92,6598,232,2042,1801,1562,1188,938,13-17,Teen Daughters
2023-10-01,TikTok,TikTok BTS Moms,TI_3966,"Savannah, GA",GA,216.57,12243,439,5662,4414,3237,2083,1653,13-17,Teen Daughters
2023-07-20,TikTok,TikTok Always On,TI_1103,"Macon, GA",GA,155.89,8123,312,3216,2106,1494,1196,1009,35-44,Moms & Daughters
2023-12-28,TikTok,TikTok Always On,TI_1103,"Macon, GA",GA,94.03,5432,146,3066,2547,1568,1205,899,18-24,Teen Daughters
2023-06-12,TikTok,TikTok Teen Trends,TI_4212,"Macon, GA",GA,150.83,7826,294,2525,2056,1687,1516,1317,13-17,Suburban Moms
2023-02-15,TikTok,TikTok BTS Moms,TI_3966,"Savannah, GA",GA,14.74,886,16,339,298,243,187,154,18-24,Suburban Moms
2023-08-30,TikTok,TikTok Teen Trends,TI_4212,"Macon, GA",GA,288.25,14429,478,4730,3943,2403,1800,1622,13-17,Suburban Moms
2024-03-19,TikTok,TikTok Always On,TI_1103,"Macon, GA",GA,249.8,14304,375,4734,3447,2207,1359,972,35-44,Suburban Moms
2023-11-05,TikTok,TikTok BTS Moms,TI_3966,"Macon, GA",GA,390.0,22434,739,11226,9959,8807,6398,3918,13-17,Moms & Daughters
2023-03-28,TikTok,TikTok Teen Trends,TI_4212,"Savannah, GA",GA,228.54,11856,468,6432,4167,2847,1989,1646,25-34,Teen Daughters
2023-07-13,TikTok,TikTok Teen Trends,TI_4212,"Macon, GA",GA,105.12,4290,167,2333,1465,1318,1030,925,18-24,Teen Daughters
2023-09-27,TikTok,TikTok Always On,TI_1103,"Macon, GA",GA,151.92,10109,258,4249,3703,2325,1725,1428,18-24,Moms & Daughters
2024-06-13,TikTok,TikTok Teen Trends,TI_4212,"Macon, GA",GA,369.59,19818,653,11658,7912,6984,4668,4034,13-17,Moms & Daughters
2024-05-27,TikTok,TikTok Always On,TI_1103,"Atlanta, GA",GA,102.28,6369,79,2533,1710,1331,1014,849,35-44,Moms & Daughters
2024-01-28,TikTok,TikTok BTS Moms,TI_3966,"Macon, GA",GA,149.95,6244,89,2245,1394,888,596,429,13-17,Suburban Moms
2023-11-25,TikTok,TikTok Teen Trends,TI_4212,"Atlanta, GA",GA,946.84,41715,1056,20316,13329,8129,7214,4397,18-24,Moms & Daughters
2023-03-16,TikTok,TikTok Always On,TI_1103,"Atlanta, GA",GA,252.54,13394,330,7744,5856,4370,3380,2843,25-34,Teen Daughters
2023-07-15,TikTok,TikTok BTS Moms,TI_3966,"Atlanta, GA",GA,310.15,20965,279,10004,8189,5087,3086,2352,35-44,Suburban Moms
2023-02-21,TikTok,TikTok Always On,TI_1103,"Macon, GA",GA,199.24,13319,521,7429,4702,4157,3022,1823,25-34,Suburban Moms
2024-06-02,TikTok,TikTok BTS Moms,TI_3966,"Savannah, GA",GA,299.86,17308,456,6856,4926,4266,3296,2582,18-24,Teen Daughters
2023-05-29,TikTok,TikTok Always On,TI_1103,"Macon, GA",GA,134.46,9054,319,4310,3073,1923,1424,1229,13-17,Moms & Daughters
2023-05-29,TikTok,TikTok Always On,TI_1103,"Augusta, GA",GA,200.07,8232,297,4327,2897,2594,1947,1816,35-44,Suburban Moms
2023-05-24,TikTok,TikTok Always On,TI_1103,"Augusta, GA",GA,124.87,7166,122,4073,2499,1650,1362,1155,25-34,Suburban Moms
2024-01-09,TikTok,TikTok BTS Moms,TI_3966,"Savannah, GA",GA,151.73,7150,140,2967,2316,1477,1215,876,13-17,Teen Daughters
2023-09-24,TikTok,TikTok Teen Trends,TI_4212,"Augusta, GA",GA,224.31,12879,283,6321,5183,3145,1971,1247,13-17,Moms & Daughters
2023-08-04,TikTok,TikTok BTS Moms,TI_3966,"Augusta, GA",GA,336.5,13870,152,6095,3808,2869,2003,1437,25-34,Teen Daughters
2024-05-11,TikTok,TikTok Teen Trends,TI_4212,"Atlanta, GA",GA,287.34,15402,374,5234,4035,2760,1745,1336,35-44,Moms & Daughters
2023-04-02,TikTok,TikTok Teen Trends,TI_4212,"Atlanta, GA",GA,174.01,9885,123,5645,4923,3985,3498,3092,13-17,Moms & Daughters
2023-04-08,TikTok,TikTok Always On,TI_1103,"Columbus, GA",GA,170.24,9425,317,3334,2573,2303,1582,1389,13-17,Suburban Moms
2023-05-04,TikTok,TikTok BTS Moms,TI_3966,"Augusta, GA",GA,216.5,13392,439,7114,5684,3778,2724,2374,35-44,Moms & Daughters
2023-05-11,TikTok,TikTok Teen Trends,TI_4212,"Columbus, GA",GA,349.07,20693,303,8780,6925,5780,4655,3887,25-34,Suburban Moms
2023-12-11,TikTok,TikTok Always On,TI_1103,"Augusta, GA",GA,117.42,5292,107,2367,2077,1811,1560,1057,35-44,Moms & Daughters
2023-11-26,TikTok,TikTok BTS Moms,TI_3966,"Atlanta, GA",GA,672.17,42051,1053,17026,13823,10257,6943,6329,25-34,Moms & Daughters
2023-11-14,TikTok,TikTok Teen Trends,TI_4212,"Atlanta, GA",GA,216.58,9331,332,3366,2349,1534,1346,1164,13-17,Teen Daughters
