date,channel,campaign_name,campaign_id,dma_name,state,spend_usd,impressions,clicks,video_views,video_25pct,video_50pct,video_75pct,video_completes,optimization_goal,age_target,audience_segment,spend_currency
2024-06-26,Instagram,Instagram Teen Trends,IN_1278,"Augusta, GA",GA,392.32,23948,295,11290,8071,6433,4539,3879,Traffic,18-24,Teen Daughters,USD
2023-07-05,Instagram,Instagram Teen Trends,IN_1278,"Macon, GA",GA,363.12,17185,273,10198,6760,4808,3314,3131,Video Views,25-34,Suburban Moms,USD
2023-04-12,Instagram,Instagram Always On,IN_2077,"Augusta, GA",GA,379.7,19488,238,9364,7365,5370,4447,4032,Conversions,25-34,Suburban Moms,USD
2024-02-14,Instagram,Instagram BTS Moms,IN_6601,"Atlanta, GA",GA,323.25,22617,520,9660,7742,5567,3733,2637,Conversions,25-34,Suburban Moms,USD
2024-05-01,Instagram,Instagram Always On,IN_2077,"Augusta, GA",GA,199.01,11448,355,5533,4152,3449,2245,2075,Traffic,18-24,Moms & Daughters,USD
2024-05-22,Instagram,Instagram Always On,IN_2077,"Augusta, GA",GA,238.3,11223,138,3559,2543,1738,1509,926,Traffic,13-17,Moms & Daughters,USD
2024-05-28,Instagram,Instagram BTS Moms,IN_6601,"Augusta, GA",GA,491.6,25857,1004,13246,8180,5939,5273,3618,Conversions,13-17,Suburban Moms,USD
2024-03-18,Instagram,Instagram Always On,IN_2077,"Columbus, GA",GA,277.43,16006,209,8370,5352,3961,3218,2136,Video Views,18-24,Suburban Moms,USD
2023-04-28,Instagram,Instagram Always On,IN_2077,"Macon, GA",GA,278.09,12807,407,4499,2982,2392,2058,1714,Video Views,18-24,Suburban Moms,USD
2024-06-24,Instagram,Instagram Teen Trends,IN_1278,"Augusta, GA",GA,104.55,6879,73,3444,2417,1634,1341,1146,Conversions,18-24,Moms & Daughters,USD
2023-09-27,Instagram,Instagram Always On,IN_2077,"Atlanta, GA",GA,498.16,26385,909,8288,6680,5229,3193,2290,Video Views,35-44,Suburban Moms,USD
2024-06-09,Instagram,Instagram Always On,IN_2077,"Augusta, GA",GA,517.74,30150,425,14924,12312,8904,6711,4064,Conversions,18-24,Teen Daughters,USD
2024-03-09,Instagram,Instagram BTS Moms,IN_6601,"Savannah, GA",GA,394.87,24355,569,10382,6370,4478,3939,2380,Traffic,18-24,Suburban Moms,USD
2024-03-20,Instagram,Instagram Always On,IN_2077,"Atlanta, GA",GA,346.91,20848,209,11254,9210,6674,5668,4784,Traffic,18-24,Teen Daughters,USD
2024-05-27,Instagram,Instagram Teen Trends,IN_1278,"Augusta, GA",GA,363.6,22388,533,9038,7112,5809,4350,2996,Traffic,18-24,Teen Daughters,USD
2023-01-25,Instagram,Instagram BTS Moms,IN_6601,"Savannah, GA",GA,251.51,11019,120,5101,3328,2855,2073,1802,Conversions,25-34,Teen Daughters,USD
2023-12-24,Instagram,Instagram BTS Moms,IN_6601,"Columbus, GA",GA,297.25,19316,284,10290,9073,5821,4685,3163,Conversions,25-34,Moms & Daughters,USD
2024-06-25,Instagram,Instagram Always On,IN_2077,"Columbus, GA",GA,173.77,9092,260,5274,3679,2354,1934,1329,Conversions,13-17,Teen Daughters,USD
2024-05-07,Instagram,Instagram Always On,IN_2077,"Macon, GA",GA,131.92,5862,192,2219,1584,979,714,504,Video Views,35-44,Moms & Daughters,USD
2023-11-12,Instagram,Instagram BTS Moms,IN_6601,"Atlanta, GA",GA,399.58,19181,396,8683,7546,5662,4727,3793,Traffic,35-44,Moms & Daughters,USD
2023-10-24,Instagram,Instagram BTS Moms,IN_6601,"Savannah, GA",GA,669.28,33158,918,16168,11218,8913,7602,4862,Traffic,13-17,Suburban Moms,USD
2024-03-12,Instagram,Instagram Teen Trends,IN_1278,"Columbus, GA",GA,144.26,9343,191,4014,2581,1874,1588,1441,Video Views,13-17,Moms & Daughters,USD
2024-05-20,Instagram,Instagram Always On,IN_2077,"Columbus, GA",GA,197.07,7957,156,4033,3437,2778,2358,2116,Traffic,13-17,Moms & Daughters,USD
2023-06-20,Instagram,Instagram BTS Moms,IN_6601,"Columbus, GA",GA,263.76,12358,203,6724,5374,3801,3388,3087,Traffic,25-34,Moms & Daughters,USD
2024-06-08,Instagram,Instagram Always On,IN_2077,"Columbus, GA",GA,267.23,17549,486,7066,4878,3681,3175,2077,Video Views,35-44,Teen Daughters,USD
2024-05-17,Instagram,Instagram Teen Trends,IN_1278,"Savannah, GA",GA,247.86,12151,474,4006,2657,2254,1688,1545,Conversions,13-17,Moms & Daughters,USD
2024-05-23,Instagram,Instagram Always On,IN_2077,"Augusta, GA",GA,337.56,14426,166,6310,5488,4282,3469,3160,Traffic,18-24,Moms & Daughters,USD
2023-07-25,Instagram,Instagram Always On,IN_2077,"Augusta, GA",GA,298.12,17644,226,9923,6895,4519,3513,2280,Conversions,25-34,Suburban Moms,USD
2024-05-19,Instagram,Instagram BTS Moms,IN_6601,"Columbus, GA",GA,143.74,6209,192,2053,1238,1031,631,471,Conversions,35-44,Suburban Moms,USD
2023-05-21,Instagram,Instagram Always On,IN_2077,"Atlanta, GA",GA,238.8,12595,312,6889,5405,4326,2795,1923,Video Views,25-34,Moms & Daughters,USD
2023-02-12,Instagram,Instagram Always On,IN_2077,"Atlanta, GA",GA,279.82,18083,693,9615,7958,5765,4567,3813,Traffic,13-17,Teen Daughters,USD
2023-06-16,Instagram,Instagram BTS Moms,IN_6601,"Savannah, GA",GA,213.0,11992,380,4811,3764,2395,1742,1146,Traffic,35-44,Suburban Moms,USD
2023-06-27,Instagram,Instagram Teen Trends,IN_1278,"Macon, GA",GA,160.98,8259,304,3107,2705,1684,1090,906,Video Views,35-44,Suburban Moms,USD
2024-04-09,Instagram,Instagram Always On,IN_2077,"Savannah, GA",GA,319.68,18482,601,10504,6461,4359,3636,3356,Traffic,25-34,Teen Daughters,USD
2023-10-21,Instagram,Instagram Always On,IN_2077,"Macon, GA",GA,333.63,14762,468,7593,6631,5666,4806,4232,Video Views,25-34,Teen Daughters,USD
2024-02-08,Instagram,Instagram BTS Moms,IN_6601,"Savannah, GA",GA,26.31,1413,18,636,525,465,294,241,Conversions,25-34,Teen Daughters,USD
2024-01-25,Instagram,Instagram Always On,IN_2077,"Macon, GA",GA,310.77,15246,385,7301,6145,3739,3221,2362,Video Views,35-44,Teen Daughters,USD
2023-06-05,Instagram,Instagram BTS Moms,IN_6601,"Macon, GA",GA,392.74,25754,658,13761,10797,8887,7157,5046,Video Views,25-34,Moms & Daughters,USD
2024-06-27,Instagram,Instagram Teen Trends,IN_1278,"Macon, GA",GA,337.76,14902,170,4542,3515,3054,2040,1279,Video Views,13-17,Moms & Daughters,USD
2023-08-30,Instagram,Instagram Teen Trends,IN_1278,"Savannah, GA",GA,202.8,10298,210,4084,2894,2583,1813,1370,Conversions,13-17,Teen Daughters,USD
2023-09-16,Instagram,Instagram Teen Trends,IN_1278,"Columbus, GA",GA,38.47,1605,16,508,407,268,223,173,Video Views,35-44,Moms & Daughters,USD
2024-01-08,Instagram,Instagram Teen Trends,IN_1278,"Macon, GA",GA,61.45,2853,113,1517,938,843,543,450,Traffic,25-34,Moms & Daughters,USD
2023-10-08,Instagram,Instagram Always On,IN_2077,"Macon, GA",GA,157.89,9603,171,3925,3488,2717,2200,2067,Video Views,13-17,Suburban Moms,USD
2023-04-10,Instagram,Instagram BTS Moms,IN_6601,"Macon, GA",GA,56.94,3284,114,1619,1258,1052,854,662,Traffic,13-17,Suburban Moms,USD
2023-06-10,Instagram,Instagram Teen Trends,IN_1278,"Atlanta, GA",GA,464.59,22057,643,9199,7033,4347,3526,2772,Video Views,18-24,Suburban Moms,USD
2023-09-16,Instagram,Instagram Teen Trends,IN_1278,"Savannah, GA",GA,392.02,20640,573,9012,5868,4973,3267,2813,Traffic,13-17,Moms & Daughters,USD
2023-03-24,Instagram,Instagram Always On,IN_2077,"Atlanta, GA",GA,138.17,6746,73,3538,2747,2006,1397,1277,Conversions,25-34,Suburban Moms,USD
2023-06-27,Instagram,Instagram BTS Moms,IN_6601,"Augusta, GA",GA,124.64,5587,149,1825,1186,1034,928,880,Conversions,18-24,Moms & Daughters,USD
2023-07-07,Instagram,Instagram BTS Moms,IN_6601,"Columbus, GA",GA,470.28,24757,784,8073,6931,6065,5225,3136,Video Views,18-24,Moms & Daughters,USD
2024-01-10,Instagram,Instagram Always On,IN_2077,"Columbus, GA",GA,330.98,22670,537,8350,5764,3967,3129,2279,Traffic,25-34,Teen Daughters,USD
2024-05-25,Instagram,Instagram BTS Moms,IN_6601,"Columbus, GA",GA,183.16,12540,249,4745,3198,2243,1398,1226,Conversions,18-24,Suburban Moms,USD
2024-06-12,Instagram,Instagram BTS Moms,IN_6601,"Savannah, GA",GA,83.15,3972,40,1695,1321,835,516,317,Conversions,13-17,Suburban Moms,USD
2024-03-11,Instagram,Instagram Teen Trends,IN_1278,"Savannah, GA",GA,197.64,10713,376,3376,2274,1385,1242,814,Conversions,25-34,Teen Daughters,USD
2023-10-04,Instagram,Instagram Teen Trends,IN_1278,"Columbus, GA",GA,193.34,9954,276,3466,2770,1833,1638,1452,Video Views,13-17,Moms & Daughters,USD
2024-03-10,Instagram,Instagram Teen Trends,IN_1278,"Macon, GA",GA,111.05,5260,109,2097,1591,1294,858,762,Traffic,13-17,Teen Daughters,USD
2023-07-24,Instagram,Instagram Teen Trends,IN_1278,"Atlanta, GA",GA,319.26,18270,327,9961,8065,5405,4159,3817,Conversions,35-44,Teen Daughters,USD
2024-04-13,Instagram,Instagram BTS Moms,IN_6601,"Atlanta, GA",GA,169.78,11877,301,5210,3254,2608,1931,1522,Video Views,18-24,Suburban Moms,USD
2024-06-26,Instagram,Instagram BTS Moms,IN_6601,"Atlanta, GA",GA,120.76,8452,218,4420,3171,2766,2345,2088,Conversions,35-44,Teen Daughters,USD
2023-04-26,Instagram,Instagram Teen Trends,IN_1278,"Macon, GA",GA,221.72,14910,291,5145,3755,2832,1743,1533,Conversions,25-34,Teen Daughters,USD
2023-07-08,Instagram,Instagram BTS Moms,IN_6601,"Savannah, GA",GA,536.69,37294,1232,13185,11539,8628,5213,4561,Traffic,13-17,Suburban Moms,USD
2024-02-23,Instagram,Instagram Teen Trends,IN_1278,"Augusta, GA",GA,426.68,28680,809,10838,8162,6462,4233,3157,Video Views,25-34,Moms & Daughters,USD
2024-05-02,Instagram,Instagram Always On,IN_2077,"Macon, GA",GA,317.44,21788,728,7469,5004,3506,2196,1996,Traffic,25-34,Teen Daughters,USD
2023-06-15,Instagram,Instagram BTS Moms,IN_6601,"Atlanta, GA",GA,129.36,5184,80,3028,2138,1473,1155,1058,Traffic,13-17,Suburban Moms,USD
2023-06-20,Instagram,Instagram Always On,IN_2077,"Columbus, GA",GA,149.34,6937,208,2291,1714,1296,965,834,Video Views,13-17,Suburban Moms,USD
2024-06-30,Instagram,Instagram BTS Moms,IN_6601,"Atlanta, GA",GA,636.67,32367,1233,16376,14258,9706,7911,5922,Video Views,13-17,Moms & Daughters,USD
2024-04-06,Instagram,Instagram Always On,IN_2077,"Atlanta, GA",GA,322.69,19678,481,7570,5481,4135,3367,2212,Video Views,18-24,Moms & Daughters,USD
2024-02-29,Instagram,Instagram Teen Trends,IN_1278,"Savannah, GA",GA,332.95,21551,331,7311,6464,5277,3386,2127,Traffic,13-17,Teen Daughters,USD
2023-02-17,Instagram,Instagram Always On,IN_2077,"Atlanta, GA",GA,236.73,15896,338,7138,4643,3338,2129,1920,Traffic,13-17,Moms & Daughters,USD
2023-07-23,Instagram,Instagram Teen Trends,IN_1278,"Atlanta, GA",GA,557.25,22632,323,12505,10292,8521,6150,3747,Traffic,13-17,Suburban Moms,USD
2024-04-12,Instagram,Instagram Always On,IN_2077,"Atlanta, GA",GA,170.47,10360,210,4256,3501,2883,2249,1673,Video Views,18-24,Teen Daughters,USD
2023-12-12,Instagram,Instagram Always On,IN_2077,"Columbus, GA",GA,229.94,11025,386,3372,2027,1299,881,541,Traffic,25-34,Teen Daughters,USD
2024-04-07,Instagram,Instagram Teen Trends,IN_1278,"Macon, GA",GA,307.69,15619,485,7938,5794,4618,3956,2453,Traffic,35-44,Suburban Moms,USD
2023-12-31,Instagram,Instagram BTS Moms,IN_6601,"Columbus, GA",GA,177.75,8446,290,4560,3739,3192,2063,1559,Traffic,25-34,Teen Daughters,USD
2023-01-05,Instagram,Instagram BTS Moms,IN_6601,"Columbus, GA",GA,394.64,23531,895,9700,8588,6163,4507,3976,Traffic,13-17,Teen Daughters,USD
2023-10-24,Instagram,Instagram Always On,IN_2077,"Augusta, GA",GA,251.06,14196,429,6146,4471,2896,2336,1538,Video Views,13-17,Teen Daughters,USD
2023-11-19,Instagram,Instagram BTS Moms,IN_6601,"Macon, GA",GA,835.02,43613,1520,17003,11520,9916,7954,5451,Traffic,13-17,Suburban Moms,USD
2024-05-27,Instagram,Instagram Teen Trends,IN_1278,"Macon, GA",GA,105.11,5027,74,1791,1474,964,722,659,Traffic,13-17,Suburban Moms,USD
2023-12-07,Instagram,Instagram Teen Trends,IN_1278,"Atlanta, GA",GA,263.98,12468,254,6517,5857,5019,3893,3132,Video Views,35-44,Teen Daughters,USD
2023-03-21,Instagram,Instagram Always On,IN_2077,"Savannah, GA",GA,504.33,24092,950,13376,11747,7392,4985,3101,Traffic,13-17,Moms & Daughters,USD
2023-06-23,Instagram,Instagram BTS Moms,IN_6601,"Augusta, GA",GA,133.11,8963,263,5349,4052,3209,2054,1905,Video Views,25-34,Moms & Daughters,USD
2023-03-17,Instagram,Instagram BTS Moms,IN_6601,"Atlanta, GA",GA,55.75,3333,94,1340,883,695,444,289,Video Views,18-24,Teen Daughters,USD
2023-03-24,Instagram,Instagram Always On,IN_2077,"Macon, GA",GA,63.28,4040,67,1863,1170,848,758,707,Video Views,13-17,Teen Daughters,USD
2024-05-05,Instagram,Instagram Always On,IN_2077,"Columbus, GA",GA,323.89,15654,590,5628,4091,3564,3194,2212,Traffic,35-44,Teen Daughters,USD
2024-03-27,Instagram,Instagram Always On,IN_2077,"Columbus, GA",GA,186.0,10800,312,6269,4063,3039,1935,1235,Traffic,13-17,Moms & Daughters,USD
2024-02-16,Instagram,Instagram Always On,IN_2077,"Macon, GA",GA,459.85,31063,1160,15827,9710,6728,4646,3310,Traffic,25-34,Teen Daughters,USD
2023-08-12,Instagram,Instagram BTS Moms,IN_6601,"Augusta, GA",GA,144.13,9295,134,4942,4340,3788,3301,2759,Traffic,18-24,Moms & Daughters,USD
2023-12-06,Instagram,Instagram BTS Moms,IN_6601,"Macon, GA",GA,487.32,22915,799,12657,11013,8277,7206,5002,Video Views,35-44,Moms & Daughters,USD
2023-09-25,Instagram,Instagram BTS Moms,IN_6601,"Savannah, GA",GA,105.34,4549,125,2217,1771,1090,931,857,Video Views,18-24,Moms & Daughters,USD
2023-04-16,Instagram,Instagram Always On,IN_2077,"Atlanta, GA",GA,323.51,13063,213,5350,4346,2889,1960,1474,Conversions,18-24,Teen Daughters,USD
2023-09-18,Instagram,Instagram BTS Moms,IN_6601,"Augusta, GA",GA,189.01,10643,239,3393,3023,2545,1569,966,Video Views,18-24,Moms & Daughters,USD
2023-09-06,Instagram,Instagram BTS Moms,IN_6601,"Macon, GA",GA,441.8,25442,966,12603,10425,6378,5349,3999,Conversions,35-44,Moms & Daughters,USD
2023-10-18,Instagram,Instagram Always On,IN_2077,"Augusta, GA",GA,261.73,16065,571,8197,5603,3728,2356,1745,Video Views,13-17,Teen Daughters,USD
2023-03-31,Instagram,Instagram Always On,IN_2077,"Augusta, GA",GA,913.36,36813,819,12933,11333,8315,6262,4558,Conversions,18-24,Teen Daughters,USD
2024-06-30,Instagram,Instagram Teen Trends,IN_1278,"Savannah, GA",GA,270.11,12242,284,4239,3119,2802,1968,1490,Traffic,13-17,Suburban Moms,USD
2024-02-22,Instagram,Instagram Always On,IN_2077,"Savannah, GA",GA,242.77,15753,164,5637,3678,2286,1618,1396,Video Views,18-24,Teen Daughters,USD
2023-01-30,Instagram,Instagram Always On,IN_2077,"Savannah, GA",GA,306.14,20570,315,11447,8363,5826,3595,2821,Video Views,13-17,Moms & Daughters,USD
2023-03-15,Instagram,Instagram Always On,IN_2077,"Savannah, GA",GA,157.72,10692,198,5434,4647,3493,2887,2718,Video Views,35-44,Suburban Moms,USD
2023-06-25,Instagram,Instagram BTS Moms,IN_6601,"Columbus, GA",GA,393.01,22647,615,9561,8457,7483,4509,4223,Video Views,18-24,Moms & Daughters,USD
2024-04-16,Instagram,Instagram BTS Moms,IN_6601,"Savannah, GA",GA,355.91,19068,725,10206,9054,5999,4842,4465,Traffic,25-34,Teen Daughters,USD
2023-02-13,Instagram,Instagram Teen Trends,IN_1278,"Savannah, GA",GA,431.99,29580,778,14760,12127,9196,7966,4843,Video Views,18-24,Moms & Daughters,USD
2023-04-14,Instagram,Instagram Teen Trends,IN_1278,"Atlanta, GA",GA,347.46,14442,422,8616,6532,4513,3499,2762,Traffic,25-34,Suburban Moms,USD
2024-02-22,Instagram,Instagram Teen Trends,IN_1278,"Augusta, GA",GA,202.28,9927,372,5878,3632,2323,1965,1297,Video Views,18-24,Moms & Daughters,USD
2024-02-23,Instagram,Instagram BTS Moms,IN_6601,"Columbus, GA",GA,235.45,15165,554,5485,4142,3221,2428,2182,Conversions,35-44,Suburban Moms,USD
2023-07-10,Instagram,Instagram Always On,IN_2077,"Atlanta, GA",GA,232.45,11222,445,4143,2668,1977,1493,988,Conversions,25-34,Suburban Moms,USD
2023-08-22,Instagram,Instagram Always On,IN_2077,"Augusta, GA",GA,545.04,28928,944,8759,6839,6118,4410,3478,Video Views,13-17,Suburban Moms,USD
2024-01-31,Instagram,Instagram BTS Moms,IN_6601,"Macon, GA",GA,324.95,14259,498,7649,4628,2797,2392,1737,Traffic,35-44,Teen Daughters,USD
2023-02-12,Instagram,Instagram BTS Moms,IN_6601,"Atlanta, GA",GA,185.69,8153,324,3823,2778,1832,1210,1063,Traffic,18-24,Suburban Moms,USD
2023-11-14,Instagram,Instagram Teen Trends,IN_1278,"Columbus, GA",GA,98.97,4558,128,2340,1618,1342,1171,915,Video Views,35-44,Moms & Daughters,USD
2023-03-25,Instagram,Instagram Teen Trends,IN_1278,"Savannah, GA",GA,506.53,23153,734,7611,5735,4363,3868,3497,Conversions,18-24,Teen Daughters,USD
2024-04-12,Instagram,Instagram BTS Moms,IN_6601,"Atlanta, GA",GA,255.36,14063,284,6380,4422,2975,2447,1910,Conversions,18-24,Moms & Daughters,USD
2023-02-02,Instagram,Instagram Always On,IN_2077,"Atlanta, GA",GA,59.15,2616,86,1559,1377,995,847,706,Conversions,13-17,Teen Daughters,USD
2023-04-16,Instagram,Instagram BTS Moms,IN_6601,"Macon, GA",GA,274.36,17831,354,5954,4499,3389,2073,1764,Conversions,25-34,Suburban Moms,USD
2023-11-08,Instagram,Instagram Always On,IN_2077,"Macon, GA",GA,457.92,23898,810,10691,6826,6049,3651,2504,Video Views,35-44,Teen Daughters,USD
2023-04-08,Instagram,Instagram Teen Trends,IN_1278,"Augusta, GA",GA,334.65,14416,413,6281,3775,2710,1829,1655,Video Views,13-17,Moms & Daughters,USD
2023-07-22,Instagram,Instagram Teen Trends,IN_1278,"Macon, GA",GA,422.93,26631,346,14157,10982,8849,7229,4750,Video Views,18-24,Suburban Moms,USD
2023-12-01,Instagram,Instagram BTS Moms,IN_6601,"Atlanta, GA",GA,474.93,25781,676,11622,8504,5724,3591,2941,Conversions,13-17,Teen Daughters,USD
2024-02-27,Instagram,Instagram Always On,IN_2077,"Atlanta, GA",GA,58.95,2498,45,827,611,401,253,210,Video Views,35-44,Teen Daughters,USD
2023-08-07,Instagram,Instagram BTS Moms,IN_6601,"Savannah, GA",GA,384.56,18880,497,9208,7226,6339,5036,3607,Traffic,13-17,Moms & Daughters,USD
2023-09-03,Instagram,Instagram Always On,IN_2077,"Augusta, GA",GA,277.18,11454,189,3814,2799,1877,1157,814,Traffic,13-17,Teen Daughters,USD
2023-10-04,Instagram,Instagram Always On,IN_2077,"Savannah, GA",GA,443.02,18723,517,7382,6639,5141,3766,3263,Conversions,18-24,Moms & Daughters,USD
2024-01-23,Instagram,Instagram Always On,IN_2077,"Savannah, GA",GA,166.77,9746,337,3714,3010,1977,1333,1035,Traffic,18-24,Moms & Daughters,USD
2023-11-27,Instagram,Instagram Teen Trends,IN_1278,"Savannah, GA",GA,300.39,12901,429,5212,3153,2427,1954,1222,Video Views,18-24,Suburban Moms,USD
2023-08-04,Instagram,Instagram BTS Moms,IN_6601,"Atlanta, GA",GA,868.99,47026,1488,18244,13950,9732,7815,5312,Video Views,35-44,Moms & Daughters,USD
2023-03-13,Instagram,Instagram Teen Trends,IN_1278,"Augusta, GA",GA,258.92,16566,448,7044,4531,3978,3131,2359,Traffic,18-24,Moms & Daughters,USD
2023-11-18,Instagram,Instagram BTS Moms,IN_6601,"Atlanta, GA",GA,1193.09,52592,1660,26568,22789,17875,10962,8158,Video Views,13-17,Teen Daughters,USD
2023-06-25,Instagram,Instagram BTS Moms,IN_6601,"Augusta, GA",GA,275.1,14842,265,6714,5936,4077,3444,2330,Video Views,35-44,Suburban Moms,USD
2023-04-21,Instagram,Instagram Teen Trends,IN_1278,"Macon, GA",GA,242.38,16636,529,6536,4414,3686,3052,2350,Traffic,18-24,Suburban Moms,USD
2023-06-11,Instagram,Instagram Teen Trends,IN_1278,"Macon, GA",GA,319.68,12820,249,7392,5666,4386,2943,1997,Video Views,25-34,Moms & Daughters,USD
2023-12-05,Instagram,Instagram BTS Moms,IN_6601,"Macon, GA",GA,1004.01,52958,810,30993,27017,17437,11744,9233,Traffic,18-24,Teen Daughters,USD
2024-04-06,Instagram,Instagram BTS Moms,IN_6601,"Macon, GA",GA,541.07,34045,532,20191,12692,8023,5679,4460,Conversions,18-24,Suburban Moms,USD
2024-02-22,Instagram,Instagram Always On,IN_2077,"Atlanta, GA",GA,192.87,12429,378,6762,4683,2980,1898,1566,Traffic,13-17,Moms & Daughters,USD
2023-07-26,Instagram,Instagram Teen Trends,IN_1278,"Augusta, GA",GA,567.36,37480,415,18330,16194,11231,9171,6502,Video Views,18-24,Moms & Daughters,USD
2023-09-23,Instagram,Instagram Teen Trends,IN_1278,"Atlanta, GA",GA,460.78,30643,1199,16881,13736,11893,8924,6264,Traffic,35-44,Moms & Daughters,USD
2024-05-13,Instagram,Instagram Always On,IN_2077,"Atlanta, GA",GA,159.99,7969,273,4116,2947,2086,1671,1406,Video Views,35-44,Teen Daughters,USD
2024-06-04,Instagram,Instagram BTS Moms,IN_6601,"Atlanta, GA",GA,119.93,6029,170,2538,1697,1424,1043,814,Conversions,18-24,Suburban Moms,USD
2024-01-26,Instagram,Instagram BTS Moms,IN_6601,"Macon, GA",GA,885.5,47050,1088,23264,14455,12726,10634,6465,Traffic,25-34,Teen Daughters,USD
2024-01-01,Instagram,Instagram BTS Moms,IN_6601,"Augusta, GA",GA,413.88,25327,405,13569,8266,5626,3810,3417,Conversions,18-24,Suburban Moms,USD
2024-03-10,Instagram,Instagram Teen Trends,IN_1278,"Augusta, GA",GA,621.01,35275,952,13446,11600,9109,7331,5688,Video Views,25-34,Suburban Moms,USD
2024-01-02,Instagram,Instagram Always On,IN_2077,"Savannah, GA",GA,90.77,6269,145,3486,2649,2331,1930,1621,Conversions,18-24,Moms & Daughters,USD
2023-12-19,Instagram,Instagram Always On,IN_2077,"Macon, GA",GA,198.83,12868,480,6448,4992,4332,3573,3285,Video Views,13-17,Suburban Moms,USD
2023-04-04,Instagram,Instagram Teen Trends,IN_1278,"Columbus, GA",GA,425.9,18982,593,8029,6097,4804,3916,3226,Conversions,35-44,Suburban Moms,USD
2023-05-04,Instagram,Instagram BTS Moms,IN_6601,"Atlanta, GA",GA,80.01,5303,78,1619,1145,755,636,409,Video Views,35-44,Teen Daughters,USD
2023-04-30,Instagram,Instagram Teen Trends,IN_1278,"Columbus, GA",GA,358.49,20744,357,8624,5211,3941,3191,2559,Conversions,35-44,Teen Daughters,USD
2023-09-21,Instagram,Instagram BTS Moms,IN_6601,"Columbus, GA",GA,332.21,13536,341,4455,3829,2816,1771,1672,Conversions,13-17,Moms & Daughters,USD
2023-04-09,Instagram,Instagram Always On,IN_2077,"Savannah, GA",GA,332.87,16632,606,7327,5396,3288,2603,1980,Conversions,35-44,Moms & Daughters,USD
2024-02-02,Instagram,Instagram BTS Moms,IN_6601,"Columbus, GA",GA,99.99,5715,101,3385,2142,1784,1246,923,Conversions,25-34,Suburban Moms,USD
2023-01-03,Instagram,Instagram Always On,IN_2077,"Savannah, GA",GA,245.55,16936,232,9478,8504,7628,6399,4882,Conversions,13-17,Suburban Moms,USD
2024-02-22,Instagram,Instagram BTS Moms,IN_6601,"Macon, GA",GA,461.61,27432,368,13415,9203,5824,4290,3509,Video Views,18-24,Suburban Moms,USD
2023-01-30,Instagram,Instagram BTS Moms,IN_6601,"Macon, GA",GA,149.11,7965,310,4521,3833,3278,2455,1794,Conversions,18-24,Suburban Moms,USD
