podcast_name,episode_title,episode_release_date,mention_datetime,host_name,mentions_brand,mentions_founder,transcript_snippet,estimated_impressions,episode_rating,sentiment
Peach State Parenting,Peach State Parenting - Sep 21 2023,2023-09-21,2023-09-21 16:25:00,Lisa K.,1,0,Karen LeSac from S'Belles joined us to talk about fast fashion and sustainability.,9838,4.35,mixed
Suburban Style Chats,Suburban Style Chats - Aug 05 2023,2023-08-05,2023-08-05 12:54:00,Tamara G.,0,1,We’re obsessed with S'Belles right now for back-to-school outfits.,19181,4.28,positive
Carpool Chronicles GA,Carpool Chronicles GA - Aug 24 2023,2023-08-24,2023-08-24 09:57:00,Danielle R.,0,1,We’re obsessed with S'Belles right now for back-to-school outfits.,16684,4.06,neutral
Teen Trend Watch,Teen Trend Watch - Oct 22 2023,2023-10-22,2023-10-22 16:51:00,Lisa K.,1,1,Founder Karen LeSac built S'Belles for busy suburban moms.,14395,4.37,neutral
Suburban Style Chats,Suburban Style Chats - Oct 22 2023,2023-10-22,2023-10-22 15:11:00,Danielle R.,1,1,"If your teen lives on TikTok, she already knows S'Belles.",8689,4.57,neutral
Teen Trend Watch,Teen Trend Watch - May 14 2023,2023-05-14,2023-05-14 09:48:00,Danielle R.,1,0,We’re obsessed with S'Belles right now for back-to-school outfits.,12185,4.19,positive
Suburban Style Chats,Suburban Style Chats - Oct 14 2023,2023-10-14,2023-10-14 08:53:00,Tamara G.,0,0,"If your teen lives on TikTok, she already knows S'Belles.",12545,3.98,neutral
Suburban Style Chats,Suburban Style Chats - Aug 19 2023,2023-08-19,2023-08-19 11:19:00,Tamara G.,1,0,Karen LeSac from S'Belles joined us to talk about fast fashion and sustainability.,13333,3.61,neutral
Teen Trend Watch,Teen Trend Watch - Feb 25 2023,2023-02-25,2023-02-25 21:26:00,Danielle R.,0,1,Founder Karen LeSac built S'Belles for busy suburban moms.,11754,4.3,mixed
Mom Life in the ATL,Mom Life in the ATL - Nov 30 2023,2023-11-30,2023-11-30 09:58:00,Lisa K.,0,1,Karen LeSac from S'Belles joined us to talk about fast fashion and sustainability.,21454,4.07,positive
Teen Trend Watch,Teen Trend Watch - Jan 31 2024,2024-01-31,2024-01-31 19:10:00,Monica P.,1,0,"If your teen lives on TikTok, she already knows S'Belles.",9445,4.73,positive
Peach State Parenting,Peach State Parenting - May 30 2023,2023-05-30,2023-05-30 13:51:00,Monica P.,1,1,We’re obsessed with S'Belles right now for back-to-school outfits.,5629,4.23,neutral
Suburban Style Chats,Suburban Style Chats - Apr 12 2024,2024-04-12,2024-04-12 12:55:00,Amy B.,1,1,Karen LeSac from S'Belles joined us to talk about fast fashion and sustainability.,8896,4.18,mixed
Teen Trend Watch,Teen Trend Watch - Jun 29 2023,2023-06-29,2023-06-29 08:49:00,Monica P.,1,1,S'Belles has the cutest coordinated looks for moms and daughters.,6823,4.61,positive
Peach State Parenting,Peach State Parenting - Nov 10 2023,2023-11-10,2023-11-10 17:00:00,Monica P.,1,1,We’re obsessed with S'Belles right now for back-to-school outfits.,11992,4.7,neutral
Suburban Style Chats,Suburban Style Chats - Apr 23 2023,2023-04-23,2023-04-23 10:29:00,Danielle R.,1,0,We’re obsessed with S'Belles right now for back-to-school outfits.,11165,4.16,neutral
Teen Trend Watch,Teen Trend Watch - Jul 02 2023,2023-07-02,2023-07-02 10:03:00,Monica P.,0,0,We’re obsessed with S'Belles right now for back-to-school outfits.,13825,4.14,positive
